record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_3nIrE5PvDmouRtrNA,3748671,new_entry,correction,,,"On March 22nd, Belize advised the public ""that only the Government of Belize can restrict the movement of Belizeans within Belize. Unless such restriction is enacted by the Government, municipal bodies should refrain from doing so. Any entity found guilty of doing such will be dealt with to the fullest extent of the law.""",2020-03-22,2020-03-22,,Belize,BLZ,BZ,National,0,,,Anti-Disinformation Measures,,,"",,,,,,,,,,Mandatory (Unspecified/Implied),National Government,53.7673961645585,52.0120849525365,50.0403712984943,91,https://www.pressoffice.gov.bz/government-of-belize-clarifies-municipal-curfew-and-entry-ban-notice/,2020-10-07,2020-10-07T16:05:44Z
R_2E4fAjkewZOJo25NA,9450500,new_entry,original,,,"On August 15 in Belize ""The Ministry of Health has become aware of individuals and companies advertising that they perform PCR testing or rapid testing for COVID-19. The Ministry is also aware that some entities are offering the service of facilitating the importation of COVID-19 test kits for purchase in Belize.

The Customs and Excise Department has issued an advisory that the clearance of any SARS-CoV2 test kit will not be approved without prior authorization from the Ministry of Health.

The Ministry of Health reiterates that it is the only authorized and legal entity in Belize that has been granted permission through the Ministry of Finance to import materials for PCR and rapid testing for COVID-19 in Belize.  The Ministry of Health is also the only entity that is authorized to conduct PCR testing through the Central Medical Laboratory in Belize City.",2020-08-13,2020-08-13,,Belize,BLZ,BZ,National,0,,,Anti-Disinformation Measures,,,"",Belize,,,,,,,,,Mandatory (Other; please list other enforcement mechanisms in the text entry),"National Government,Ministry/Department of Health",,,,,https://www.pressoffice.gov.bz/ministry-of-health-issues-advisory-on-local-advertisements-for-covid-19-testing/,2020-09-09,2020-09-09T23:52:45Z
R_1Km7yCbcFdg0e28NA,3816925,new_entry,original,,,"On Sept. 15 in Belize,  the Government of Belize Press Office held a media literacy forum called Navigating the Changing Media Landscape in Democracies: Fake news vs. Facts. ""...The forum also addresses the dangers of fake news and disinformation and how to combat them""",2020-09-15,2020-09-15,,Belize,BLZ,BZ,National,0,,,Anti-Disinformation Measures,,,"",Belize,,,,,,,,,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",,,,,https://www.pressoffice.gov.bz/media-literacy-forum-hosted-by-government-of-belize-embassy-of-the-republic-of-china-taiwan-and-the-u-s-embassy/,2020-09-20,2020-09-20T01:48:21Z
R_9NX3VDbVVnX7EitDp,9955609,new_entry,original,,,"In Belize, ""Effective Friday, March 20, all schools will be closed for 14 days which will lead right into the Easter break. This is being done with a view to make up the school days within the current school year depending on how the situation evolves. It is stressed that this is not a vacation and parents and students alike must continue to follow the Government’s advisories for social distancing and vigilance with hand-washing and good hygiene.""",2020-03-16,2020-03-20,2020-04-03,Belize,BLZ,BZ,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Belize,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.3317735961804,51.3931093988656,50.3147396570064,75,https://www.pressoffice.gov.bz/belize-announces-new-measures-in-response-to-covid-19/,2020-04-20,2020-04-20T20:14:14Z
R_9NX3VDbVVnX7EitEn,9955609,new_entry,original,,,"In Belize, ""Effective Friday, March 20, all schools will be closed for 14 days which will lead right into the Easter break. This is being done with a view to make up the school days within the current school year depending on how the situation evolves. It is stressed that this is not a vacation and parents and students alike must continue to follow the Government’s advisories for social distancing and vigilance with hand-washing and good hygiene.""",2020-03-16,2020-03-20,2020-04-03,Belize,BLZ,BZ,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Belize,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.3317735961804,51.3931093988656,50.3147396570064,75,https://www.pressoffice.gov.bz/belize-announces-new-measures-in-response-to-covid-19/,2020-04-20,2020-04-20T20:14:14Z
R_9NX3VDbVVnX7EitBo,9955609,new_entry,original,,,"In Belize, ""Effective Friday, March 20, all schools will be closed for 14 days which will lead right into the Easter break. This is being done with a view to make up the school days within the current school year depending on how the situation evolves. It is stressed that this is not a vacation and parents and students alike must continue to follow the Government’s advisories for social distancing and vigilance with hand-washing and good hygiene.""",2020-03-16,2020-03-20,2020-04-03,Belize,BLZ,BZ,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Belize,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.3317735961804,51.3931093988656,50.3147396570064,75,https://www.pressoffice.gov.bz/belize-announces-new-measures-in-response-to-covid-19/,2020-04-20,2020-04-20T20:14:14Z
R_22tRVVEbMBQ38y5Dn,9275383,new_entry,original,,,"In Belize, ""The Ministry of Human Development, Social Transformation and Poverty Alleviation advises the public that effective Saturday, March 21st, 2020 all daycares will suspend operations until Monday, April 20th, 2020 when schools are scheduled to reopen.""",2020-03-19,2020-03-21,2020-04-20,Belize,BLZ,BZ,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Belize,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",52.8781295552723,51.9662513092959,51.0796130950025,96,https://www.pressoffice.gov.bz/closure-of-daycare-centers/,2020-04-21,2020-04-21T06:36:22Z
R_3LjddfYwVrA7bhGDp,9955609,update,original,Change of Policy,Strengthening,"In Belize, ""Effective Friday, March 20, all schools will be closed for 14 days which will lead right into the Easter break. This is being done with a view to make up the school days within the current school year depending on how the situation evolves. It is stressed that this is not a vacation and parents and students alike must continue to follow the Government’s advisories for social distancing and vigilance with hand-washing and good hygiene.""

In Belize, effective May 18, all schools are still to remain closed. No end date or time frame was specified.",2020-05-18,2020-05-18,2020-04-03,Belize,BLZ,BZ,National,0,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",Belize,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA,2020-08-22,2020-08-22T21:41:39Z
R_3LjddfYwVrA7bhGEn,9955609,update,original,Change of Policy,Strengthening,"In Belize, ""Effective Friday, March 20, all schools will be closed for 14 days which will lead right into the Easter break. This is being done with a view to make up the school days within the current school year depending on how the situation evolves. It is stressed that this is not a vacation and parents and students alike must continue to follow the Government’s advisories for social distancing and vigilance with hand-washing and good hygiene.""

In Belize, effective May 18, all schools are still to remain closed. No end date or time frame was specified.",2020-05-18,2020-05-18,2020-04-03,Belize,BLZ,BZ,National,0,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",Belize,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA,2020-08-22,2020-08-22T21:41:39Z
R_3LjddfYwVrA7bhGBo,9955609,update,original,Change of Policy,Strengthening,"In Belize, ""Effective Friday, March 20, all schools will be closed for 14 days which will lead right into the Easter break. This is being done with a view to make up the school days within the current school year depending on how the situation evolves. It is stressed that this is not a vacation and parents and students alike must continue to follow the Government’s advisories for social distancing and vigilance with hand-washing and good hygiene.""

In Belize, effective May 18, all schools are still to remain closed. No end date or time frame was specified.",2020-05-18,2020-05-18,2020-04-03,Belize,BLZ,BZ,National,0,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",Belize,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA,2020-08-22,2020-08-22T21:41:39Z
