"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3NWL9az12I2xSqANA","7898524","new_entry","original",NA,NA,"23 March ""The Cyber Police (FATA) has arrested 24 people with the suspicion of spreading fake news and disinformation online about the coronavirus outbreak""
",2020-03-23,2020-03-23,NA,"Iran","IRN","IR","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Iran",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time)","Other (Please specify in the text box)",53.2904054547587,52.233694569616,51.069807864072,101,"https://www.cyberpolice.ir/news/147107/24-%D8%B4%D8%A7%DB%8C%D8%B9%D9%87-%D9%BE%D8%B1%D8%A7%DA%A9%D9%86-%D9%81%D8%B6%D8%A7%DB%8C-%D9%85%D8%AC%D8%A7%D8%B2%DB%8C-%D8%AF%D8%B1-%D8%AE%D8%B5%D9%88%D8%B5-%D8%A8%DB%8C%D9%85%D8%A7%D8%B1%DB%8C-%DA%A9%D8%B1%D9%88%D9%86%D8%A7-%D9%88%DB%8C%D8%B1%D9%88%D8%B3-%D8%AF%D8%B3%D8%AA%DA%AF%DB%8C%D8%B1-%D8%B4%D8%AF%D9%86%D8%AF-%C2%A0 ; https://www.tabnak.ir/fa/news/961993/%DB%B2%DB%B4-%D8%B4%D8%A7%DB%8C%D8%B9%D9%87-%D9%BE%D8%B1%D8%A7%DA%A9%D9%86-%DA%A9%D8%B1%D9%88%D9%86%D8%A7-%D9%88%DB%8C%D8%B1%D9%88%D8%B3-%D8%AF%D8%B3%D8%AA%DA%AF%DB%8C%D8%B1-%D8%B4%D8%AF%D9%86%D8%AF",2020-11-27,2020-11-27 18:05:06
"2","R_1DYHFIUudQPqxUkNA","8328923","new_entry","original",NA,NA,"In Iran, an influential newspaper (Jahane Sanat) was shut down by government officials for publishing remarks by an expert who challenged the country’s official COVID-19 figures.",2020-08-10,2020-08-10,NA,"Iran","IRN","IR","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Iran",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.nydailynews.com/news/national/ny-iran-newspaper-shuttered-expert-questions-coronavirus-numbers-20200810-fclnu4shn5djths6cqvjig5h6u-story.html",2020-08-17,2020-08-17 23:18:42
"3","R_29i9D3Fznj9UftQDf","6210292","new_entry","original",NA,NA,"In Iran, ""Universities and colleges will be closed until the end of the Iranian week, February 29 in Tehran, Alborz Qazvin Qom, Isfahan and several other provinces. Schools will be closed in Tehran and a few other provinces for two days to conduct de-contamination operations"".",2020-02-23,2020-02-24,2020-03-29,"Iran","IRN","IR","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Iran",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health,Provincial/State Government",52.3615794701163,51.1586557199121,50.1777673308851,181,"https://en.radiofarda.com/a/iran-announces-closure-of-universities-schools-to-fight-coronavirus/30449711.html",2020-03-31,2020-03-31 17:53:29
"4","R_29i9D3Fznj9UftQDh","6210292","new_entry","original",NA,NA,"In Iran, ""Universities and colleges will be closed until the end of the Iranian week, February 29 in Tehran, Alborz Qazvin Qom, Isfahan and several other provinces. Schools will be closed in Tehran and a few other provinces for two days to conduct de-contamination operations"".",2020-02-23,2020-02-24,2020-03-29,"Iran","IRN","IR","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Iran",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health,Provincial/State Government",52.3615794701163,51.1586557199121,50.1777673308851,181,"https://en.radiofarda.com/a/iran-announces-closure-of-universities-schools-to-fight-coronavirus/30449711.html",2020-03-31,2020-03-31 17:53:29
"5","R_29i9D3Fznj9UftQEd","6210292","new_entry","original",NA,NA,"In Iran, ""Universities and colleges will be closed until the end of the Iranian week, February 29 in Tehran, Alborz Qazvin Qom, Isfahan and several other provinces. Schools will be closed in Tehran and a few other provinces for two days to conduct de-contamination operations"".",2020-02-23,2020-02-24,2020-03-29,"Iran","IRN","IR","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Iran",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health,Provincial/State Government",52.3615794701163,51.1586557199121,50.1777673308851,181,"https://en.radiofarda.com/a/iran-announces-closure-of-universities-schools-to-fight-coronavirus/30449711.html",2020-03-31,2020-03-31 17:53:29
"6","R_29i9D3Fznj9UftQBo","6210292","new_entry","original",NA,NA,"In Iran, ""Universities and colleges will be closed until the end of the Iranian week, February 29 in Tehran, Alborz Qazvin Qom, Isfahan and several other provinces. Schools will be closed in Tehran and a few other provinces for two days to conduct de-contamination operations"".",2020-02-23,2020-02-24,2020-03-29,"Iran","IRN","IR","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Iran",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health,Provincial/State Government",52.3615794701163,51.1586557199121,50.1777673308851,181,"https://en.radiofarda.com/a/iran-announces-closure-of-universities-schools-to-fight-coronavirus/30449711.html",2020-03-31,2020-03-31 17:53:29
"7","R_2oasp5YupUe0GvDBo","3925513","new_entry","original",NA,NA,"March 2, Iran announced a ""Whenever, wherever learn anytime "" e-learning platform for people to learn new skills remotely to reduce coronavirus infections. This program different programs from online seminars, workshops and other courses free for the public until April 3.",2020-03-02,2020-03-02,2020-04-03,"Iran","IRN","IR","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Iran",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",52.7488208893543,51.7445050801907,50.8761654833928,184,"https://www.ilna.news/%D8%A8%D8%AE%D8%B4-%D8%A7%D8%B3%D8%AA%D8%A7%D9%86-%D9%87%D8%A7-15/880494-%D8%B1%D8%A7%D9%87-%D8%A7%D9%86%D8%AF%D8%A7%D8%B2%DB%8C-%DA%A9%D9%85%D9%BE%DB%8C%D9%86-%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D9%87%D8%A7%DB%8C-%D9%85%D8%AC%D8%A7%D8%B2%DB%8C-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-%D8%A8%D8%B1%D8%A7%DB%8C-%D9%85%D9%82%D8%A7%D8%A8%D9%84%D9%87-%D8%A8%D8%A7-%DA%A9%D8%B1%D9%88%D9%86%D8%A7 ; http://www.pana.ir/news/1027572",2020-11-21,2020-11-21 13:01:16
"8","R_0VQs0rvp9l1Mo9PDf","6210292","update","original",NA,NA,"Iran announced that ""all schools and universities will remain closed until the end of the Iranian calendar year on March 20"".",2020-03-05,2020-03-05,2020-03-29,"Iran","IRN","IR","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Iran",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",53.1106781083261,51.870209301256,50.8413080689565,183,"https://www.voanews.com/science-health/coronavirus-outbreak/iran-closes-schools-limits-travel-amid-coronavirus-outbreak",2020-03-31,2020-03-31 17:59:15
"9","R_0VQs0rvp9l1Mo9PDh","6210292","update","original",NA,NA,"Iran announced that ""all schools and universities will remain closed until the end of the Iranian calendar year on March 20"".",2020-03-05,2020-03-05,2020-03-29,"Iran","IRN","IR","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Iran",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",53.1106781083261,51.870209301256,50.8413080689565,183,"https://www.voanews.com/science-health/coronavirus-outbreak/iran-closes-schools-limits-travel-amid-coronavirus-outbreak",2020-03-31,2020-03-31 17:59:15
"10","R_0VQs0rvp9l1Mo9PEd","6210292","update","original",NA,NA,"Iran announced that ""all schools and universities will remain closed until the end of the Iranian calendar year on March 20"".",2020-03-05,2020-03-05,2020-03-29,"Iran","IRN","IR","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Iran",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",53.1106781083261,51.870209301256,50.8413080689565,183,"https://www.voanews.com/science-health/coronavirus-outbreak/iran-closes-schools-limits-travel-amid-coronavirus-outbreak",2020-03-31,2020-03-31 17:59:15
