"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3irKB8UQxTUmKwjDp",1603220,"new_entry","original","NA",NA,"Samoa closes all schools until further notice after March 20.","2020-03-20","2020-03-21",2020-05-04,"Samoa","WSM","WS","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Samoa",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.7914468098388,52.9125192842607,51.7094918541798,146,"http://www.samoagovt.ws/2020/03/state-of-emergency-declared/","2020-04-03","2020-04-03 11:03:03"
"2","R_3irKB8UQxTUmKwjEn",1603220,"new_entry","original","NA",NA,"Samoa closes all schools until further notice after March 20.","2020-03-20","2020-03-21",2020-05-04,"Samoa","WSM","WS","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Samoa",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.7914468098388,52.9125192842607,51.7094918541798,146,"http://www.samoagovt.ws/2020/03/state-of-emergency-declared/","2020-04-03","2020-04-03 11:03:03"
"3","R_3kCeE3r035Vxjj8Dp",1603220,"update","original","End of Policy",NA,"Samoa closes all schools until further notice after March 20.","2020-03-20","2020-03-21",2020-05-04,"Samoa","WSM","WS","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Samoa",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.7914468098388,52.9125192842607,51.7094918541798,146,"http://www.samoagovt.ws/2020/03/state-of-emergency-declared/","2020-09-10","2020-09-10 12:05:04"
"4","R_3kCeE3r035Vxjj8En",1603220,"update","original","End of Policy",NA,"Samoa closes all schools until further notice after March 20.","2020-03-20","2020-03-21",2020-05-04,"Samoa","WSM","WS","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","Samoa",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.7914468098388,52.9125192842607,51.7094918541798,146,"http://www.samoagovt.ws/2020/03/state-of-emergency-declared/","2020-09-10","2020-09-10 12:05:04"
"5","R_xgZ4Rz92NOZ1GBbDp",6575171,"new_entry","original","NA",NA,"On May 4, Samoa will reopen schools that have been closed since March 20.","2020-05-01","2020-05-04",NA,"Samoa","WSM","WS","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools allowed to open with no conditions","Samoa",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",NA,NA,NA,NA,"https://www.samoagovt.ws/2020/05/amended-state-of-emergency-orders-for-coronavirus-covid-19-1-may-2020/","2020-06-12","2020-06-12 08:46:50"
"6","R_xgZ4Rz92NOZ1GBbEn",6575171,"new_entry","original","NA",NA,"On May 4, Samoa will reopen schools that have been closed since March 20.","2020-05-01","2020-05-04",NA,"Samoa","WSM","WS","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools allowed to open with no conditions","Samoa",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",NA,NA,NA,NA,"https://www.samoagovt.ws/2020/05/amended-state-of-emergency-orders-for-coronavirus-covid-19-1-may-2020/","2020-06-12","2020-06-12 08:46:50"
"7","R_AcHqmC9IyPsTcNXDp",1603220,"update","original","End of Policy",NA,"Samoa closes all schools until further notice after March 20. Schools may reopen on May 4.","2020-05-01","2020-05-04",2020-05-04,"Samoa","WSM","WS","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Samoa",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"http://www.samoagovt.ws/2020/03/state-of-emergency-declared/","2020-06-12","2020-06-12 08:43:38"
"8","R_AcHqmC9IyPsTcNXEn",1603220,"update","original","End of Policy",NA,"Samoa closes all schools until further notice after March 20. Schools may reopen on May 4.","2020-05-01","2020-05-04",2020-05-04,"Samoa","WSM","WS","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","Samoa",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"http://www.samoagovt.ws/2020/03/state-of-emergency-declared/","2020-06-12","2020-06-12 08:43:38"
"9","R_3PTfzq3xXqRQpFJEo",6347961,"new_entry","original","NA",NA,"Samoa imposes a curfew from 4pm to 6am daily after March 20.","2020-03-20","2020-03-21",2020-05-01,"Samoa","WSM","WS","National",1,NA,NA,"Curfew",NA,NA,"","Samoa",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.7914468098388,52.9125192842607,51.7094918541798,146,"http://www.samoagovt.ws/2020/03/state-of-emergency-declared/","2020-04-03","2020-04-03 11:00:23"
"10","R_3pmxSt1hEFZGze8Eo",6347961,"update","original","End of Policy",NA,"Samoa imposes a curfew from 4pm to 6am daily after March 20.","2020-03-20","2020-03-21",2020-05-01,"Samoa","WSM","WS","National",0,NA,NA,"Curfew",NA,NA,"","Samoa",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.7914468098388,52.9125192842607,51.7094918541798,146,"http://www.samoagovt.ws/2020/03/state-of-emergency-declared/","2020-09-10","2020-09-10 12:10:44"
