"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_1n8zWJC5hZ40nA1En",9690389,"new_entry","original","NA",NA,"China, on 04 Feb 2020, Guangdong provincial government posted its requirement regarding pandemic disinformation. When a residential area or its surrounding area discovers an infected person, the local residential management should aid the county residential committee to help to alert the nearby residents, inform them of the next step quarantine guidelines. The local residential reporting must be based on truthful, reliable, identifiable, and verifiable sources or facts. The local residential management team must not fabricate information or transmit false information.","2020-02-04","2020-02-04",NA,"China","CHN","CN","Provincial",0,"Guangdong",NA,"Anti-Disinformation Measures","Self-Quarantine (i.e. quarantine at home)",NA,"","China",NA,NA,"Guangdong",NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",54.35821303556,53.1604078015653,51.720047759691,194,"http://zfcxjst.gd.gov.cn/xxgk/wjtz/content/post_2883800.html","2020-09-18","2020-09-18 15:11:48"
"2","R_1n8zWJC5hZ40nA1Ci",9690389,"new_entry","original","NA",NA,"China, on 04 Feb 2020, Guangdong provincial government posted its requirement regarding pandemic disinformation. When a residential area or its surrounding area discovers an infected person, the local residential management should aid the county residential committee to help to alert the nearby residents, inform them of the next step quarantine guidelines. The local residential reporting must be based on truthful, reliable, identifiable, and verifiable sources or facts. The local residential management team must not fabricate information or transmit false information.","2020-02-04","2020-02-04",NA,"China","CHN","CN","Provincial",0,"Guangdong",NA,"Anti-Disinformation Measures","Lockdown only applies to people of certain ages (Please note the age restriction in the text box)",NA,"","China",NA,NA,"Guangdong",NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",54.35821303556,53.1604078015653,51.720047759691,194,"http://zfcxjst.gd.gov.cn/xxgk/wjtz/content/post_2883800.html","2020-09-18","2020-09-18 15:11:48"
"3","R_1n8zWJC5hZ40nA1Fg",9690389,"new_entry","original","NA",NA,"China, on 04 Feb 2020, Guangdong provincial government posted its requirement regarding pandemic disinformation. When a residential area or its surrounding area discovers an infected person, the local residential management should aid the county residential committee to help to alert the nearby residents, inform them of the next step quarantine guidelines. The local residential reporting must be based on truthful, reliable, identifiable, and verifiable sources or facts. The local residential management team must not fabricate information or transmit false information.","2020-02-04","2020-02-04",NA,"China","CHN","CN","Provincial",0,"Guangdong",NA,"Anti-Disinformation Measures","Visa extensions (e.g. visa validity extended)",NA,"","China",NA,NA,"Guangdong",NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",54.35821303556,53.1604078015653,51.720047759691,194,"http://zfcxjst.gd.gov.cn/xxgk/wjtz/content/post_2883800.html","2020-09-18","2020-09-18 15:11:48"
"4","R_1n8zWJC5hZ40nA1Dk",9690389,"new_entry","original","NA",NA,"China, on 04 Feb 2020, Guangdong provincial government posted its requirement regarding pandemic disinformation. When a residential area or its surrounding area discovers an infected person, the local residential management should aid the county residential committee to help to alert the nearby residents, inform them of the next step quarantine guidelines. The local residential reporting must be based on truthful, reliable, identifiable, and verifiable sources or facts. The local residential management team must not fabricate information or transmit false information.","2020-02-04","2020-02-04",NA,"China","CHN","CN","Provincial",0,"Guangdong",NA,"Anti-Disinformation Measures","Postponement of a recreational or commercial event",NA,"","China",NA,NA,"Guangdong",NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",54.35821303556,53.1604078015653,51.720047759691,194,"http://zfcxjst.gd.gov.cn/xxgk/wjtz/content/post_2883800.html","2020-09-18","2020-09-18 15:11:48"
"5","R_1n8zWJC5hZ40nA1Cg",9690389,"new_entry","original","NA",NA,"China, on 04 Feb 2020, Guangdong provincial government posted its requirement regarding pandemic disinformation. When a residential area or its surrounding area discovers an infected person, the local residential management should aid the county residential committee to help to alert the nearby residents, inform them of the next step quarantine guidelines. The local residential reporting must be based on truthful, reliable, identifiable, and verifiable sources or facts. The local residential management team must not fabricate information or transmit false information.","2020-02-04","2020-02-04",NA,"China","CHN","CN","Provincial",0,"Guangdong",NA,"Anti-Disinformation Measures","Keeping a distance of at least 6 feet or 1.5 meters apart",NA,"","China",NA,NA,"Guangdong",NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",54.35821303556,53.1604078015653,51.720047759691,194,"http://zfcxjst.gd.gov.cn/xxgk/wjtz/content/post_2883800.html","2020-09-18","2020-09-18 15:11:48"
"6","R_1n8zWJC5hZ40nA1Fl",9690389,"new_entry","original","NA",NA,"China, on 04 Feb 2020, Guangdong provincial government posted its requirement regarding pandemic disinformation. When a residential area or its surrounding area discovers an infected person, the local residential management should aid the county residential committee to help to alert the nearby residents, inform them of the next step quarantine guidelines. The local residential reporting must be based on truthful, reliable, identifiable, and verifiable sources or facts. The local residential management team must not fabricate information or transmit false information.","2020-02-04","2020-02-04",NA,"China","CHN","CN","Provincial",0,"Guangdong",NA,"Anti-Disinformation Measures","Wearing Masks in all public spaces/everywhere",NA,"","China",NA,NA,"Guangdong",NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",54.35821303556,53.1604078015653,51.720047759691,194,"http://zfcxjst.gd.gov.cn/xxgk/wjtz/content/post_2883800.html","2020-09-18","2020-09-18 15:11:48"
"7","R_1n8zWJC5hZ40nA1Ap",9690389,"new_entry","original","NA",NA,"China, on 04 Feb 2020, Guangdong provincial government posted its requirement regarding pandemic disinformation. When a residential area or its surrounding area discovers an infected person, the local residential management should aid the county residential committee to help to alert the nearby residents, inform them of the next step quarantine guidelines. The local residential reporting must be based on truthful, reliable, identifiable, and verifiable sources or facts. The local residential management team must not fabricate information or transmit false information.","2020-02-04","2020-02-04",NA,"China","CHN","CN","Provincial",0,"Guangdong",NA,"Anti-Disinformation Measures","82800",NA,"","China",NA,NA,"Guangdong",NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",54.35821303556,53.1604078015653,51.720047759691,194,"http://zfcxjst.gd.gov.cn/xxgk/wjtz/content/post_2883800.html","2020-09-18","2020-09-18 15:11:48"
"8","R_1n8zWJC5hZ40nA1Ad",9690389,"new_entry","original","NA",NA,"China, on 04 Feb 2020, Guangdong provincial government posted its requirement regarding pandemic disinformation. When a residential area or its surrounding area discovers an infected person, the local residential management should aid the county residential committee to help to alert the nearby residents, inform them of the next step quarantine guidelines. The local residential reporting must be based on truthful, reliable, identifiable, and verifiable sources or facts. The local residential management team must not fabricate information or transmit false information.","2020-02-04","2020-02-04",NA,"China","CHN","CN","Provincial",0,"Guangdong",NA,"Anti-Disinformation Measures","21600",NA,"","China",NA,NA,"Guangdong",NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",54.35821303556,53.1604078015653,51.720047759691,194,"http://zfcxjst.gd.gov.cn/xxgk/wjtz/content/post_2883800.html","2020-09-18","2020-09-18 15:11:48"
"9","R_1n8zWJC5hZ40nA1Do",9690389,"new_entry","original","NA",NA,"China, on 04 Feb 2020, Guangdong provincial government posted its requirement regarding pandemic disinformation. When a residential area or its surrounding area discovers an infected person, the local residential management should aid the county residential committee to help to alert the nearby residents, inform them of the next step quarantine guidelines. The local residential reporting must be based on truthful, reliable, identifiable, and verifiable sources or facts. The local residential management team must not fabricate information or transmit false information.","2020-02-04","2020-02-04",NA,"China","CHN","CN","Provincial",0,"Guangdong",NA,"Anti-Disinformation Measures","Primary Schools (generally for children ages 10 and below)",NA,"","China",NA,NA,"Guangdong",NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",54.35821303556,53.1604078015653,51.720047759691,194,"http://zfcxjst.gd.gov.cn/xxgk/wjtz/content/post_2883800.html","2020-09-18","2020-09-18 15:11:48"
"10","R_1n8zWJC5hZ40nA1Em",9690389,"new_entry","original","NA",NA,"China, on 04 Feb 2020, Guangdong provincial government posted its requirement regarding pandemic disinformation. When a residential area or its surrounding area discovers an infected person, the local residential management should aid the county residential committee to help to alert the nearby residents, inform them of the next step quarantine guidelines. The local residential reporting must be based on truthful, reliable, identifiable, and verifiable sources or facts. The local residential management team must not fabricate information or transmit false information.","2020-02-04","2020-02-04",NA,"China","CHN","CN","Provincial",0,"Guangdong",NA,"Anti-Disinformation Measures","Secondary Schools (generally for children ages 10 to 18)",NA,"","China",NA,NA,"Guangdong",NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",54.35821303556,53.1604078015653,51.720047759691,194,"http://zfcxjst.gd.gov.cn/xxgk/wjtz/content/post_2883800.html","2020-09-18","2020-09-18 15:11:48"
