record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_3EngnOGQ2BjGq27NA,7032428,new_entry,original,,,"Benin rectifies rumors about closing corn mills in the country as a result of the pandemic on April 19, 2020",2020-04-19,2020-04-19,,Benin,BEN,BJ,National,1,,,,Anti-Disinformation Measures,,,,Benin,,,,,,,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",55.7513421738599,54.0683471931957,52.334222705395,152,https://www.gouv.bj/actualite/616/coronavirus---communique-ministre-interieur-relatif-fermeture-moulins/,2020-05-07,2020-05-07T13:45:50Z
R_2YLHYVWzMstWuu3Do,8704753,new_entry,correction,,,"On March 23, 2020, Benin fixes the Easter holiday period for all public and private schools and universities for Monday 30 March to Monday 13 April 2020",2020-03-23,2020-03-30,2020-05-10,Benin,BEN,BJ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Benin,,,,,,,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",54.2501441888182,53.4507761029711,52.5613874658143,147,NA,2020-05-13,2020-05-13T09:15:06Z
R_2YLHYVWzMstWuu3Eo,8704753,new_entry,correction,,,"On March 23, 2020, Benin fixes the Easter holiday period for all public and private schools and universities for Monday 30 March to Monday 13 April 2020",2020-03-23,2020-03-30,2020-05-10,Benin,BEN,BJ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Benin,,,,,,,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",54.2501441888182,53.4507761029711,52.5613874658143,147,NA,2020-05-13,2020-05-13T09:15:06Z
R_2YLHYVWzMstWuu3Br,8704753,new_entry,correction,,,"On March 23, 2020, Benin fixes the Easter holiday period for all public and private schools and universities for Monday 30 March to Monday 13 April 2020",2020-03-23,2020-03-30,2020-05-10,Benin,BEN,BJ,National,1,,,,Closure and Regulation of Schools,Higher education (i.e. degree granting institutions),,Higher education closed/locked down,Benin,,,,,,,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",54.2501441888182,53.4507761029711,52.5613874658143,147,NA,2020-05-13,2020-05-13T09:15:06Z
R_3e32z3xmoC2vG7mDo,8704753,update,original,Change of Policy,Strengthening,"On March 23, 2020, Benin fixes the Easter holiday period for all public and private schools and universities for Monday 30 March to Monday 13 April 2020.
On April 13, 2020, the closure of schools and universities gets extended to  May 10, 2020. UPDATE: Benin fixed the Easter holiday period for all public and private schools and universities for Monday 30 March to Monday 13 April 2020. The school closure got extended to May 10, 2020.",2020-04-13,2020-04-13,2020-05-10,Benin,BEN,BJ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Benin,,,,,,,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",55.3140945094554,53.9920081088494,52.9090015296169,150,NA,2020-05-13,2020-05-13T10:02:36Z
R_3e32z3xmoC2vG7mEo,8704753,update,original,Change of Policy,Strengthening,"On March 23, 2020, Benin fixes the Easter holiday period for all public and private schools and universities for Monday 30 March to Monday 13 April 2020.
On April 13, 2020, the closure of schools and universities gets extended to  May 10, 2020. UPDATE: Benin fixed the Easter holiday period for all public and private schools and universities for Monday 30 March to Monday 13 April 2020. The school closure got extended to May 10, 2020.",2020-04-13,2020-04-13,2020-05-10,Benin,BEN,BJ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Benin,,,,,,,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",55.3140945094554,53.9920081088494,52.9090015296169,150,NA,2020-05-13,2020-05-13T10:02:36Z
R_3e32z3xmoC2vG7mBr,8704753,update,original,Change of Policy,Strengthening,"On March 23, 2020, Benin fixes the Easter holiday period for all public and private schools and universities for Monday 30 March to Monday 13 April 2020.
On April 13, 2020, the closure of schools and universities gets extended to  May 10, 2020. UPDATE: Benin fixed the Easter holiday period for all public and private schools and universities for Monday 30 March to Monday 13 April 2020. The school closure got extended to May 10, 2020.",2020-04-13,2020-04-13,2020-05-10,Benin,BEN,BJ,National,1,,,,Closure and Regulation of Schools,Higher education (i.e. degree granting institutions),,Higher education closed/locked down,Benin,,,,,,,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",55.3140945094554,53.9920081088494,52.9090015296169,150,NA,2020-05-13,2020-05-13T10:02:36Z
R_1dNBATpiqRvoDTZDo,8704753,update,original,Change of Policy,Strengthening,"On March 23, 2020, Benin fixes the Easter holiday period for all public and private schools and universities for Monday 30 March to Monday 13 April 2020.
On April 13, this was extended to May 10, for schools and universities. UPDATE: Benin fixed the Easter holiday period for all public and private schools and universities for Monday 30 March to Monday 13 April 2020. The closure of schools and universities got extended to May 10.",2020-04-13,2020-04-13,2020-05-10,Benin,BEN,BJ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Benin,,,,,,,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",55.3140945094554,53.9920081088494,52.9090015296169,150,NA,2020-05-13,2020-05-13T12:50:46Z
R_1dNBATpiqRvoDTZEo,8704753,update,original,Change of Policy,Strengthening,"On March 23, 2020, Benin fixes the Easter holiday period for all public and private schools and universities for Monday 30 March to Monday 13 April 2020.
On April 13, this was extended to May 10, for schools and universities. UPDATE: Benin fixed the Easter holiday period for all public and private schools and universities for Monday 30 March to Monday 13 April 2020. The closure of schools and universities got extended to May 10.",2020-04-13,2020-04-13,2020-05-10,Benin,BEN,BJ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Benin,,,,,,,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",55.3140945094554,53.9920081088494,52.9090015296169,150,NA,2020-05-13,2020-05-13T12:50:46Z
R_1dNBATpiqRvoDTZBr,8704753,update,original,Change of Policy,Strengthening,"On March 23, 2020, Benin fixes the Easter holiday period for all public and private schools and universities for Monday 30 March to Monday 13 April 2020.
On April 13, this was extended to May 10, for schools and universities. UPDATE: Benin fixed the Easter holiday period for all public and private schools and universities for Monday 30 March to Monday 13 April 2020. The closure of schools and universities got extended to May 10.",2020-04-13,2020-04-13,2020-05-10,Benin,BEN,BJ,National,1,,,,Closure and Regulation of Schools,Higher education (i.e. degree granting institutions),,Higher education closed/locked down,Benin,,,,,,,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",55.3140945094554,53.9920081088494,52.9090015296169,150,NA,2020-05-13,2020-05-13T12:50:46Z
