record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_3HZHAie4YMRs812NA,7193139,new_entry,correction,,,"On March 16, the Edo State Government has called on residents to avoid spreading malicious and unverified information about Covid-19 aimed at causing panic.",2020-03-16,2020-03-16,2020-03-16,Nigeria,NGA,NG,Provincial,0,Edo,,Anti-Disinformation Measures,,,"",,,,Edo,,,,,,Voluntary/Recommended but No Penalties,Provincial/State Government,49.7459558555322,48.4236069572319,46.4790915320694,16,http://www.edostate.gov.ng/coronavirus-edo-govt-cautions-against-spreading-panic-assures-measures-to-ward-off-outbreak/,2020-09-10,2020-09-10T08:47:37Z
R_1oBgWMKEczZFtcmNA,7966400,new_entry,original,,,"The Nigeria Centre for Disease Control is aware of reports from the media stating that Director General, Dr Chikwe Ihekweazu is in ‘quarantine over coronavirus’. This is false.

Between the 16th and 24th of February 2020, the World Health Organization deployed a high-level mission to China. The joint mission had 25 national and international experts, including the Director General of the Nigeria Centre for Disease Control, Dr Chikwe Ihekweazu",2020-03-16,2020-03-16,,Nigeria,NGA,NG,National,0,,,Anti-Disinformation Measures,,,"",Nigeria,,,,,,,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,New (COVID-19 specific) Task Force",49.7459558555322,48.4236069572319,46.4790915320694,16,https://ncdc.gov.ng/news/236/03-march%2C-2020-%7C-abuja-%E2%80%93-director-general-of-ncdc-is-not-quarantined,2020-11-25,2020-11-25T12:23:24Z
R_UsTLwaFtKR8i3BvNA,1397702,new_entry,original,,,"Nasarawa State,Nigeria, cautioned residents against spreading fake news on coronavirus that could cause panic in the state on March 25 an stated: “The public should rely only on information from government and experts on COVID-19 and not allow themselves to be misled by some unpatriotic elements whose aim is to cause confusion,”.


",2020-03-25,2020-03-25,2020-03-25,Nigeria,NGA,NG,Provincial,0,Nassarawa,,Anti-Disinformation Measures,,,"",Nigeria,,,Nassarawa,,,,,,Voluntary/Recommended but No Penalties,Provincial/State Government,50.8884406214174,49.1342014364396,47.6926434768003,18,https://nnn.com.ng/covid-19-nasarawa-state-govt-cautious-residents-on-fake-news/,2020-07-06,2020-07-06T14:57:01Z
R_1q1A6JWoBhqvSzONA,4542525,new_entry,original,,,"Osun state, Nigeria, announced April 2 that the governor has signed the Osun Infectious Diseases (Emergency Prevention) Regulations 2020. Under the law transmission or dissemination of false information regarding Covid-19 is an offense and anybody who violates the law will be sentenced to six-month imprisonment or an option of fine upon conviction.",2020-04-02,2020-04-02,,Nigeria,NGA,NG,Provincial,0,Osun,,Anti-Disinformation Measures,,,"",,,,Osun,,,,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",Provincial/State Government,51.1716171065276,49.4025943182899,47.6115693597627,18,https://osunnewsroom.com/lockdown-violate-order-go-to-jail-as-oyetola-signs-osun-emergency-prevention-regulations/,2020-06-18,2020-06-18T05:20:03Z
R_ZghzFViuJCw0dbjNA,6955655,new_entry,original,,,"On April 14, Dr Abubakar Ayinla, the Permanent Secretary, state Ministry of Health said that the state government has set up the Risk Communication teams, among others, to manage rumours and fake news circulating as regards COVID-19 in the state.",2020-04-14,2020-04-14,,Nigeria,NGA,NG,Provincial,0,Kwara,,Anti-Disinformation Measures,,,"",Nigeria,,,Kwara,,,,,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government,New (COVID-19 specific) Task Force",52.6725279607684,49.2656967037489,46.1430924204838,16,https://www.pulse.ng/news/local/amala-cant-cure-coronavirus-kwara-govt-warns-residents/r66spz2,2020-07-07,2020-07-07T07:06:55Z
R_TvYNj8hqbTMDLJDNA,5085501,new_entry,original,,,"On April 16, Kogi State Governor, Alhaji Yahaya Bello has denied ever trivialising Covid-19 pandemic as untrue, political and an avenue for corrupt public officials to enrich themselves as claimed in recent social media reports. He is urging the public and good people of Kogi State to disregard the said fake news churned out by agents of mischief whose stock in trade is to mislead the people and cause disaffection in the society.",2020-04-16,2020-04-16,,Nigeria,NGA,NG,Provincial,0,Kogi,,Anti-Disinformation Measures,,,"",Nigeria,,,Kogi,,,,,,Voluntary/Recommended but No Penalties,Provincial/State Government,52.86172863043,49.2562213508264,45.9659959415514,15,https://www.thenewsnigeria.com.ng/2020/04/16/kogi-gov-denies-discrediting-kovid-19-war/,2020-07-04,2020-07-04T08:47:38Z
R_8iBtYXu7yiGvoaZNA,6987579,new_entry,correction,,,"On May 2, the Edo State governor in Nigeria urged journalists to uphold the ethics of the journalism profession and live up to their responsibilities of providing reliable and credible information to the public amid COVID-19.",2020-05-02,2020-05-02,2020-05-02,Nigeria,NGA,NG,Provincial,0,Edo,,Anti-Disinformation Measures,,,"",,,,Edo,,,,,,Voluntary/Recommended but No Penalties,Provincial/State Government,,,,,http://www.edostate.gov.ng/world-press-day-obaseki-tasks-journalists-on-ethics-facts-based-reportage-amid-covid-19/,2020-09-10,2020-09-10T08:49:53Z
R_3qyzFu0yZ0hlvCWNA,554074,new_entry,original,,,"Ondo state, Nigeria, on May 8 urges journalists to only publish verified reports.",2020-05-08,2020-05-08,2020-05-08,Nigeria,NGA,NG,Provincial,0,Ondo,,Anti-Disinformation Measures,,,"",Nigeria,,,Ondo,,,,,,Voluntary/Recommended but No Penalties,Provincial/State Government,,,,,https://nnn.com.ng/covid-19-publish-only-verified-reports-ondo-commissioner-urges-journalists/,2020-06-30,2020-06-30T07:19:24Z
R_8p2qdOBedD7zIoVNA,2304404,new_entry,original,,,"On May 15, Kwara State Governor, AbdulRahman AbdulRazaq, said the man in a recent video that went viral on social media was not a suspected COVID-19 patient. The governor, who disclosed this during a visit to the state’s isolation centre in Ilorin, however, told journalists that the man was inappropriately evacuated from his home in Ilorin.",2020-05-15,2020-05-15,,Nigeria,NGA,NG,Provincial,0,Kwara,,Anti-Disinformation Measures,,,"",Nigeria,,,Kwara,,,,,,Voluntary/Recommended but No Penalties,Provincial/State Government,,,,,https://www.ripplesnigeria.com/kwara-foils-attempt-by-covid-19-patients-to-escape-from-isolation-centre/,2020-07-24,2020-07-24T13:55:21Z
R_2Wx0vLRbpEV9ulxNA,7021714,new_entry,correction,,,"On June 2, Edo State Government received Information, Education and Communication (IEC) materials from World Health Organization (WHO) to disseminate of actionable &, credible messages and promote Health & communicate risk, especially during outbreaks such as COVID-19.",2020-06-02,2020-06-02,2020-06-02,Nigeria,NGA,NG,Provincial,0,Edo,,Anti-Disinformation Measures,,,"",,An international organization (e.g. World Health Organization),,Edo,,,All Citizens (Citizen Residents + Citizen Travelers),Inbound,Not Applicable,Voluntary/Recommended but No Penalties,"Provincial/State Government,Other (Please specify in the text box)",,,,,http://www.m2.com/m2/web/story.php/20209843984,2020-09-10,2020-09-10T08:51:16Z
R_1QAReO96NnCnSLHNA,9245261,new_entry,original,,,"On June 16th, 2020, Nigeria conducted training of health reporters and journalists on factual reporting on COVID-19 in Kano State. The primary goal was to prevent the spread of fake news surrounding COVID-19 and its status in the country. The non-governmental organization ""Breakthrough Action-Nigeria"" as well as the Federal Ministry of Health conducted the training in order to help reporters and journalists identify scams, fabricated information, and conspiracy theories, among other issues, before proliferating information and sources.",2020-06-16,2020-06-16,,Nigeria,NGA,NG,National,0,,,Anti-Disinformation Measures,,,"",Nigeria,,,,,,,,,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",,,,,https://www.ncdc.gov.ng/themes/common/files/sitreps/bd2b795494ffd79e03c75d018aa7e3fa.pdf ; https://africahousingnews.com/2020/06/07/ncdc-trains-journalists-on-covid-19/,2020-06-23,2020-06-23T04:18:12Z
R_poRyxkIhMSvEETfNA,9355960,new_entry,original,,,"Nigeria, june 26 - a recent collaboration of the Borno State Government with the World Health Organisation to launch a campaign tagged ‘COVID-19 Heroes Campaign’ launched on May 29 in Borno State.The deputy governor noted that the campaign was aimed at demystifying COVID-19 and putting a stop to the stigmatisation of those affected by the pandemic, adding that sufferers of the disease should be celebrated by all rather than stigmatised.",2020-06-26,2020-06-26,,Nigeria,NGA,NG,Provincial,0,Borno,,Anti-Disinformation Measures,,,"",Nigeria,,,Borno,,,,,,Voluntary/Recommended but No Penalties,Provincial/State Government,,,,,https://punchng.com/we-need-to-create-more-awareness-about-coronavirus-borno-deputy-gov/,2020-07-05,2020-07-05T05:55:42Z
R_9Rb5Ujnfua7ZZ97NA,84088,new_entry,original,,,"Osun state, Nigeria, has a one-day training program on Covid-19 reporting for selected radio reporters on July 1. The programme is organized by the Ministry of Information and Civic Orientation in collaboration with the United Nations International Children’s Emergency Fund(UNICEF).",2020-07-01,2020-07-01,2020-07-01,Nigeria,NGA,NG,Provincial,0,Osun,,Anti-Disinformation Measures,,,"",Nigeria,,,Osun,,,,,,Voluntary/Recommended but No Penalties,Provincial/State Government,,,,,https://osunnewsroom.com/covid-19-egbemode-tasks-media-on-accurate-reporting-collaborates-with-unicef-to-train-journalists/,2020-07-06,2020-07-06T11:54:39Z
R_1psZK8sJW5ONeTJNA,7737270,new_entry,original,,,"The Anambra State Government of Nigeria announced on July 13, 2020 that they were aware of a group of criminals parading in fake Covid-19 Task Force uniforms. These criminals had been arresting people and extorting huge sums of money from them while posturing as working for the government of Anambra State. The government indicated that the only agencies authorized to enforce the Anambra State Covid-19 Law are the members of OCHA Brigade and ATMA. Additionally, the government warned these fake operators that the Anambra State Police Command has been directed to search for, arrest and prosecute anybody masquerading as a Covid-19 Task Force operator.",2020-07-13,2020-07-13,,Nigeria,NGA,NG,Provincial,0,Anambra,,Anti-Disinformation Measures,,,"",Nigeria,,,Anambra,,,,,,Mandatory with Legal Penalties (Jail Time),"Provincial/State Government,Police",,,,,https://www.facebook.com/1377212462499476/posts/2485622748325103/?d=n,2020-08-22,2020-08-22T22:48:46Z
