record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_2q3KKa2dOFb943tDq,3348314,new_entry,original,,,Venezuela has suspended classes at public and private schools across the country starting on March 16.,2020-03-13,2020-03-16,2020-06-30,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Venezuela,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,49.9133350316966,47.8402909347144,45.1854549639934,9,https://www.aljazeera.com/news/2020/3/13/venezuela-confirms-two-coronavirus-cases-suspends-school,2020-10-18,2020-10-18T03:51:47Z,17,0,0,,,,,,,,,137,4294,1,2,0.897322237,0.394925088,-0.13043922,11,17,31108083,4.22047e+11,13750.2091,-3.89438647,17.2529782,26.7683814,9.52880931,2,1,-0.33826932,1.284792048,630686,0.35693338
R_2q3KKa2dOFb943tEq,3348314,new_entry,original,,,Venezuela has suspended classes at public and private schools across the country starting on March 16.,2020-03-13,2020-03-16,2020-06-30,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Venezuela,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,49.9133350316966,47.8402909347144,45.1854549639934,9,https://www.aljazeera.com/news/2020/3/13/venezuela-confirms-two-coronavirus-cases-suspends-school,2020-10-18,2020-10-18T03:51:47Z,17,0,0,,,,,,,,,137,4294,1,2,0.897322237,0.394925088,-0.13043922,11,17,31108083,4.22047e+11,13750.2091,-3.89438647,17.2529782,26.7683814,9.52880931,2,1,-0.33826932,1.284792048,630686,0.35693338
R_3dFl5loAHvMUrwoDo,5241891,new_entry,original,,,"From March 16, the Cada Familia Una Escuela program is beginning under the Ministry of Education. The program is broadcast on national television in an effort to continue the education of students.",2020-03-16,2020-03-16,,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities allowed to open with conditions,Venezuela,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",49.9133350316966,47.8402909347144,45.1854549639934,9,https://elpitazo.net/reportajes/cada-familia-una-escuela-un-programa-de-contingencia-sin-planificacion/,2020-11-29,2020-11-29T15:48:38Z,17,0,0,,,,,,,,,137,4294,1,2,0.897322237,0.394925088,-0.13043922,11,17,31108083,4.22047e+11,13750.2091,-3.89438647,17.2529782,26.7683814,9.52880931,2,1,-0.33826932,1.284792048,630686,0.35693338
R_3dFl5loAHvMUrwoDq,5241891,new_entry,original,,,"From March 16, the Cada Familia Una Escuela program is beginning under the Ministry of Education. The program is broadcast on national television in an effort to continue the education of students.",2020-03-16,2020-03-16,,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools allowed to open with conditions,Venezuela,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",49.9133350316966,47.8402909347144,45.1854549639934,9,https://elpitazo.net/reportajes/cada-familia-una-escuela-un-programa-de-contingencia-sin-planificacion/,2020-11-29,2020-11-29T15:48:38Z,17,0,0,,,,,,,,,137,4294,1,2,0.897322237,0.394925088,-0.13043922,11,17,31108083,4.22047e+11,13750.2091,-3.89438647,17.2529782,26.7683814,9.52880931,2,1,-0.33826932,1.284792048,630686,0.35693338
R_3dFl5loAHvMUrwoEq,5241891,new_entry,original,,,"From March 16, the Cada Familia Una Escuela program is beginning under the Ministry of Education. The program is broadcast on national television in an effort to continue the education of students.",2020-03-16,2020-03-16,,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,Venezuela,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",49.9133350316966,47.8402909347144,45.1854549639934,9,https://elpitazo.net/reportajes/cada-familia-una-escuela-un-programa-de-contingencia-sin-planificacion/,2020-11-29,2020-11-29T15:48:38Z,17,0,0,,,,,,,,,137,4294,1,2,0.897322237,0.394925088,-0.13043922,11,17,31108083,4.22047e+11,13750.2091,-3.89438647,17.2529782,26.7683814,9.52880931,2,1,-0.33826932,1.284792048,630686,0.35693338
R_3DnL1XGhIik33ODDq,3348314,update,original,Change of Policy,Strengthening,"Venezuela has suspended classes at public and private schools across the country starting on March 16. UPDATE: The original policy began under the national quarantine. On April 7th, the Ministry of Education ratified the suspension of face-to-face classes for the rest of the school year.",2020-04-07,2020-04-07,2020-06-30,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Venezuela,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,51.3235490927974,48.2502532500069,45.0066011329359,12,NA,2020-11-29,2020-11-29T15:52:49Z,165,7,65,,,,,,,,,137,4294,1,2,0.897322237,0.394925088,-0.13043922,11,17,31108083,4.22047e+11,13750.2091,-3.89438647,17.2529782,26.7683814,9.52880931,2,1,-0.33826932,1.284792048,630686,0.35693338
R_3DnL1XGhIik33ODEq,3348314,update,original,Change of Policy,Strengthening,"Venezuela has suspended classes at public and private schools across the country starting on March 16. UPDATE: The original policy began under the national quarantine. On April 7th, the Ministry of Education ratified the suspension of face-to-face classes for the rest of the school year.",2020-04-07,2020-04-07,2020-06-30,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Venezuela,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,51.3235490927974,48.2502532500069,45.0066011329359,12,NA,2020-11-29,2020-11-29T15:52:49Z,165,7,65,,,,,,,,,137,4294,1,2,0.897322237,0.394925088,-0.13043922,11,17,31108083,4.22047e+11,13750.2091,-3.89438647,17.2529782,26.7683814,9.52880931,2,1,-0.33826932,1.284792048,630686,0.35693338
R_2Suw1mlc6NCYgK8Bu,7651397,new_entry,original,,,"In Venezuela, the Plan “Universidad en Casa” began on April 13 and has been extended to August 30 as a ""distance education plan that has to guarantee the students the continuation of studies during this quarantine period.""",2020-04-13,2020-04-13,2020-08-30,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with conditions,Venezuela,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",50.9569044221739,48.3912355400135,45.1195877231261,13,https://contrapunto.com/nacional/universidades/plan-universidad-en-casa-se-extedera-hasta-agosto/ ; https://www.elnacional.com/venezuela/isturiz-inicio-del-nuevo-ano-escolar-podria-ser-en-2021/,2020-12-28,2020-12-28T14:49:00Z,189,9,110,,,,,,,,,137,4294,1,2,0.897322237,0.394925088,-0.13043922,11,17,31108083,4.22047e+11,13750.2091,-3.89438647,17.2529782,26.7683814,9.52880931,2,1,-0.33826932,1.284792048,630686,0.35693338
R_30dDvXGX1TCt2gJDo,3152053,new_entry,original,,,"On April 21, President Maduro of Venezuela announced that Vive TV is the new television station of the national educational system for the remainder of the 2019-2020 academic year.",2020-04-22,2020-04-21,2020-06-30,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Venezuela,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,51.6566217915715,48.5553604083698,46.08680630429,13,http://www.snc.gob.ve/noticias/vive-tv-es-la-nueva-televisora-del-sistema-educativo-nacional ; http://www.snc.gob.ve/noticias/cierre-del-ano-escolar-sera-el-30-de-junio,2020-12-28,2020-12-28T15:00:09Z,285,10,117,,,,,,,,,137,4294,1,2,0.897322237,0.394925088,-0.13043922,11,17,31108083,4.22047e+11,13750.2091,-3.89438647,17.2529782,26.7683814,9.52880931,2,1,-0.33826932,1.284792048,630686,0.35693338
R_30dDvXGX1TCt2gJDq,3152053,new_entry,original,,,"On April 21, President Maduro of Venezuela announced that Vive TV is the new television station of the national educational system for the remainder of the 2019-2020 academic year.",2020-04-22,2020-04-21,2020-06-30,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Venezuela,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,51.6566217915715,48.5553604083698,46.08680630429,13,http://www.snc.gob.ve/noticias/vive-tv-es-la-nueva-televisora-del-sistema-educativo-nacional ; http://www.snc.gob.ve/noticias/cierre-del-ano-escolar-sera-el-30-de-junio,2020-12-28,2020-12-28T15:00:09Z,285,10,117,,,,,,,,,137,4294,1,2,0.897322237,0.394925088,-0.13043922,11,17,31108083,4.22047e+11,13750.2091,-3.89438647,17.2529782,26.7683814,9.52880931,2,1,-0.33826932,1.284792048,630686,0.35693338
