"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3nIrE5PvDmouRtrNA","3748671","new_entry","correction",NA,NA,"On March 22nd, Belize advised the public ""that only the Government of Belize can restrict the movement of Belizeans within Belize. Unless such restriction is enacted by the Government, municipal bodies should refrain from doing so. Any entity found guilty of doing such will be dealt with to the fullest extent of the law.""",2020-03-22,2020-03-22,NA,"Belize","BLZ","BZ","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.7673961645585,52.0120849525365,50.0403712984943,91,"https://www.pressoffice.gov.bz/government-of-belize-clarifies-municipal-curfew-and-entry-ban-notice/",2020-10-07,2020-10-07 16:05:44
"2","R_2E4fAjkewZOJo25NA","9450500","new_entry","original",NA,NA,"On August 15 in Belize ""The Ministry of Health has become aware of individuals and companies advertising that they perform PCR testing or rapid testing for COVID-19. The Ministry is also aware that some entities are offering the service of facilitating the importation of COVID-19 test kits for purchase in Belize.

The Customs and Excise Department has issued an advisory that the clearance of any SARS-CoV2 test kit will not be approved without prior authorization from the Ministry of Health.

The Ministry of Health reiterates that it is the only authorized and legal entity in Belize that has been granted permission through the Ministry of Finance to import materials for PCR and rapid testing for COVID-19 in Belize.  The Ministry of Health is also the only entity that is authorized to conduct PCR testing through the Central Medical Laboratory in Belize City.",2020-08-13,2020-08-13,NA,"Belize","BLZ","BZ","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Belize",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Other; please list other enforcement mechanisms in the text entry)","National Government,Ministry/Department of Health",NA,NA,NA,NA,"https://www.pressoffice.gov.bz/ministry-of-health-issues-advisory-on-local-advertisements-for-covid-19-testing/",2020-09-09,2020-09-09 23:52:45
"3","R_1Km7yCbcFdg0e28NA","3816925","new_entry","original",NA,NA,"On Sept. 15 in Belize,  the Government of Belize Press Office held a media literacy forum called Navigating the Changing Media Landscape in Democracies: Fake news vs. Facts. ""...The forum also addresses the dangers of fake news and disinformation and how to combat them""",2020-09-15,2020-09-15,NA,"Belize","BLZ","BZ","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Belize",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.pressoffice.gov.bz/media-literacy-forum-hosted-by-government-of-belize-embassy-of-the-republic-of-china-taiwan-and-the-u-s-embassy/",2020-09-20,2020-09-20 01:48:21
"4","R_9NX3VDbVVnX7EitDg","9955609","new_entry","original",NA,NA,"In Belize, ""Effective Friday, March 20, all schools will be closed for 14 days which will lead right into the Easter break. This is being done with a view to make up the school days within the current school year depending on how the situation evolves. It is stressed that this is not a vacation and parents and students alike must continue to follow the Government’s advisories for social distancing and vigilance with hand-washing and good hygiene.""",2020-03-16,2020-03-20,2020-04-03,"Belize","BLZ","BZ","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Belize",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.3317735961804,51.3931093988655,50.3147396570064,75,"https://www.pressoffice.gov.bz/belize-announces-new-measures-in-response-to-covid-19/",2020-04-20,2020-04-20 20:14:14
"5","R_9NX3VDbVVnX7EitEc","9955609","new_entry","original",NA,NA,"In Belize, ""Effective Friday, March 20, all schools will be closed for 14 days which will lead right into the Easter break. This is being done with a view to make up the school days within the current school year depending on how the situation evolves. It is stressed that this is not a vacation and parents and students alike must continue to follow the Government’s advisories for social distancing and vigilance with hand-washing and good hygiene.""",2020-03-16,2020-03-20,2020-04-03,"Belize","BLZ","BZ","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Belize",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.3317735961804,51.3931093988655,50.3147396570064,75,"https://www.pressoffice.gov.bz/belize-announces-new-measures-in-response-to-covid-19/",2020-04-20,2020-04-20 20:14:14
"6","R_9NX3VDbVVnX7EitBo","9955609","new_entry","original",NA,NA,"In Belize, ""Effective Friday, March 20, all schools will be closed for 14 days which will lead right into the Easter break. This is being done with a view to make up the school days within the current school year depending on how the situation evolves. It is stressed that this is not a vacation and parents and students alike must continue to follow the Government’s advisories for social distancing and vigilance with hand-washing and good hygiene.""",2020-03-16,2020-03-20,2020-04-03,"Belize","BLZ","BZ","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Belize",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.3317735961804,51.3931093988655,50.3147396570064,75,"https://www.pressoffice.gov.bz/belize-announces-new-measures-in-response-to-covid-19/",2020-04-20,2020-04-20 20:14:14
"7","R_22tRVVEbMBQ38y5De","9275383","new_entry","original",NA,NA,"In Belize, ""The Ministry of Human Development, Social Transformation and Poverty Alleviation advises the public that effective Saturday, March 21st, 2020 all daycares will suspend operations until Monday, April 20th, 2020 when schools are scheduled to reopen.""",2020-03-19,2020-03-21,2020-04-20,"Belize","BLZ","BZ","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Belize",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",52.8781295552723,51.9662513092959,51.0796130950025,96,"https://www.pressoffice.gov.bz/closure-of-daycare-centers/",2020-04-21,2020-04-21 06:36:22
"8","R_2EmB6YBpCgvNA9SNA","2270219","new_entry","original",NA,NA,"Effective April 1, Belize will impost ""a curfew from 8:00 p.m. to
5:00 a.m. every day."" The curfew will last 30 days, but may be renewed after that period.",2020-03-30,2020-04-01,2020-09-03,"Belize","BLZ","BZ","National",1,NA,NA,"Curfew",NA,NA,"","Belize",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",57.6895990727594,52.212949614889,46.8776232120478,70,"https://bit.ly/33X11PR",2020-06-22,2020-06-22 20:29:57
"9","R_Uzuq97HLrQXj1vjNA","3622128","new_entry","original",NA,NA,"MOVEMENT DURING NON-CURFEW HOURS (5:00 AM TO 7:59 PM) -- people can only move for: 
- Purchasing essential needs
- Attending for medical or veterinary attention
- Emergencies
- An essential worker or employee of an approved business going to or from work
- An essential worker or employee of an approved business, acting within the scope of his duties, including but not limited to security guards patrolling, whether on foot or by conveyance, agricultural or factory workers, delivery services or other similar operations requiring the movement of personnel for the effective conduct of the business or operations
- A person seeking or obtaining services of an approved business or office
- A home-health care provider of services to sick, disabled or elderly persons or to children, going to and from work
- A person visiting family or engaging in any other activity allowed under these regulations, such as going to church, hotel, restaurant or swimming",2020-05-18,2020-05-18,NA,"Belize","BLZ","BZ","National",1,NA,NA,"Curfew",NA,NA,"","Belize",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government",NA,NA,NA,NA,"https://www.pressoffice.gov.bz/summary-of-statutory-instrument-no-73-of-2020/",2020-08-19,2020-08-19 19:54:18
"10","R_2dm6tI2dhYIZlclNA","2541443","new_entry","original",NA,NA,"As of August 7, Belize has is given a nationwide curfew from 10pm-5am Sunday to Thursday and midnight-5am Friday and Saturday.

 Ambergris Caye, and Orange Walk, Santa Martha, Shipyard, and Guinea Grass have a stricter curfew  from 8pm-5am everyday, and for children under sixteen the curfew will be from 6pm-5pm everyday unless accompanied by a parent of guardian

UPDATE: As of August 25, The nationwide curfew has been changed to 9pm-4:59am daily and there will no longer be a differential curfew on weekends. Ambergris Caye and the villages of Santa Martha, Shipyard, and Guinea Grass (Orange District) will still have a stricter curfew from 8pm-4:59pm daily. In all areas, persons under the age of 16 are not permitted outside or in public spaces from 6pm until the start of the curfew unless accompanied by an adult.",2020-08-25,2020-08-25,2020-09-03,"Belize","BLZ","BZ","National",1,NA,NA,"Curfew",NA,NA,"","Belize",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.garda.com/crisis24/news-alerts/367211/belize-state-of-emergency-commences-as-of-august-7-update-3 ; https://www.worldaware.com/covid-19-alert-belize-amends-nationwide-curfew#:~:text=The%20nationwide%20curfew%20has%20been,disease%20activity%3B%20as%20of%20Aug.",2020-11-02,2020-11-02 01:03:53
