record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_2CPLigWxuqlOM3VNA,4901272,new_entry,original,,,"The Lebanese Ministry of Information has partnered with UN agencies to launch a campaign against the spread of misinformation about the coronavirus, beginning on April 22. The campaign will include weekly videos and a ""rumor log"" on the ministry's website.",2020-04-22,2020-04-22,,Lebanon,LBN,LB,National,0,,,Anti-Disinformation Measures,,,"",,,,,,,,,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,54.695012577826,53.5654255739328,52.6505638863912,122,https://www.dailystar.com.lb/News/Lebanon-News/2020/Apr-25/504920-campaign-seeks-to-counter-coronavirus-misinformation.ashx,2020-05-11,2020-05-11T12:19:50Z
R_1o7rldqNH8I5WTgNA,3463437,new_entry,original,,,The Lebanese Ministry of the Interior on June 5 has warned citizens not to use fake documents being sold on social media that claim to allow users to bypass rules regarding the movement of cars and motorcycles. Only official documents released by the Ministry can be used for such purposes.,2020-06-05,2020-06-05,,Lebanon,LBN,LB,National,0,,,Anti-Disinformation Measures,,,"",,,,,,,,,,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",,,,,http://www.interior.gov.lb/AdsDetails.aspx?ida=356,2020-06-06,2020-06-06T12:06:23Z
R_2A0dkMZuTKaopC1Di,621783,new_entry,original,,,"Lebanon has asked all schools, universities and nurseries to close until March 8.",2020-02-28,2020-02-29,2020-05-28,Lebanon,LBN,LB,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Lebanon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,50.7332819848261,49.5798803131502,47.9258486558799,120,https://www.reuters.com/article/us-china-health-lebanon-education/lebanon-closes-schools-until-march-8-to-curb-coronavirus-spread-idUSKCN20M341 ; https://www.aljazeera.com/news/2020/02/lebanon-asks-schools-universities-close-coronavirus-200229152102382.html ; https://www.lebanon24.com/news/lebanon/678486/%D8%B1%D8%B3%D9%85%D9%8A%D8%A7%D9%8B-%D9%84%D8%A7-%D9%85%D8%AF%D8%A7%D8%B1%D8%B3-%D8%BA%D8%AF%D8%A7%D9%8B-%D9%84%D8%BA%D8%A7%D9%8A%D8%A9-8-%D8%A2%D8%B0%D8%A7%D8%B1-%D8%A8%D8%B3%D8%A8%D8%A8-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7,2020-04-10,2020-04-10T04:35:31Z
R_2A0dkMZuTKaopC1Dk,621783,new_entry,original,,,"Lebanon has asked all schools, universities and nurseries to close until March 8.",2020-02-28,2020-02-29,2020-05-28,Lebanon,LBN,LB,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Lebanon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,50.7332819848261,49.5798803131502,47.9258486558799,120,https://www.reuters.com/article/us-china-health-lebanon-education/lebanon-closes-schools-until-march-8-to-curb-coronavirus-spread-idUSKCN20M341 ; https://www.aljazeera.com/news/2020/02/lebanon-asks-schools-universities-close-coronavirus-200229152102382.html ; https://www.lebanon24.com/news/lebanon/678486/%D8%B1%D8%B3%D9%85%D9%8A%D8%A7%D9%8B-%D9%84%D8%A7-%D9%85%D8%AF%D8%A7%D8%B1%D8%B3-%D8%BA%D8%AF%D8%A7%D9%8B-%D9%84%D8%BA%D8%A7%D9%8A%D8%A9-8-%D8%A2%D8%B0%D8%A7%D8%B1-%D8%A8%D8%B3%D8%A8%D8%A8-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7,2020-04-10,2020-04-10T04:35:31Z
R_2A0dkMZuTKaopC1Ej,621783,new_entry,original,,,"Lebanon has asked all schools, universities and nurseries to close until March 8.",2020-02-28,2020-02-29,2020-05-28,Lebanon,LBN,LB,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Lebanon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,50.7332819848261,49.5798803131502,47.9258486558799,120,https://www.reuters.com/article/us-china-health-lebanon-education/lebanon-closes-schools-until-march-8-to-curb-coronavirus-spread-idUSKCN20M341 ; https://www.aljazeera.com/news/2020/02/lebanon-asks-schools-universities-close-coronavirus-200229152102382.html ; https://www.lebanon24.com/news/lebanon/678486/%D8%B1%D8%B3%D9%85%D9%8A%D8%A7%D9%8B-%D9%84%D8%A7-%D9%85%D8%AF%D8%A7%D8%B1%D8%B3-%D8%BA%D8%AF%D8%A7%D9%8B-%D9%84%D8%BA%D8%A7%D9%8A%D8%A9-8-%D8%A2%D8%B0%D8%A7%D8%B1-%D8%A8%D8%B3%D8%A8%D8%A8-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7,2020-04-10,2020-04-10T04:35:31Z
R_2A0dkMZuTKaopC1Br,621783,new_entry,original,,,"Lebanon has asked all schools, universities and nurseries to close until March 8.",2020-02-28,2020-02-29,2020-05-28,Lebanon,LBN,LB,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Lebanon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,50.7332819848261,49.5798803131502,47.9258486558799,120,https://www.reuters.com/article/us-china-health-lebanon-education/lebanon-closes-schools-until-march-8-to-curb-coronavirus-spread-idUSKCN20M341 ; https://www.aljazeera.com/news/2020/02/lebanon-asks-schools-universities-close-coronavirus-200229152102382.html ; https://www.lebanon24.com/news/lebanon/678486/%D8%B1%D8%B3%D9%85%D9%8A%D8%A7%D9%8B-%D9%84%D8%A7-%D9%85%D8%AF%D8%A7%D8%B1%D8%B3-%D8%BA%D8%AF%D8%A7%D9%8B-%D9%84%D8%BA%D8%A7%D9%8A%D8%A9-8-%D8%A2%D8%B0%D8%A7%D8%B1-%D8%A8%D8%B3%D8%A8%D8%A8-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7,2020-04-10,2020-04-10T04:35:31Z
R_1q1H4P1JNUkRMWrDi,621783,update,original,Change of Policy,Strengthening,"Lebanon has asked all schools, universities and nurseries to close from February 29 through March 14.",2020-03-06,2020-03-06,2020-05-28,Lebanon,LBN,LB,National,0,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Lebanon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,51.5870048799254,50.5854082723075,49.6276153163685,136,NA,2020-05-10,2020-05-10T06:27:01Z
R_1q1H4P1JNUkRMWrDk,621783,update,original,Change of Policy,Strengthening,"Lebanon has asked all schools, universities and nurseries to close from February 29 through March 14.",2020-03-06,2020-03-06,2020-05-28,Lebanon,LBN,LB,National,0,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Lebanon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,51.5870048799254,50.5854082723075,49.6276153163685,136,NA,2020-05-10,2020-05-10T06:27:01Z
R_1q1H4P1JNUkRMWrEj,621783,update,original,Change of Policy,Strengthening,"Lebanon has asked all schools, universities and nurseries to close from February 29 through March 14.",2020-03-06,2020-03-06,2020-05-28,Lebanon,LBN,LB,National,0,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Lebanon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,51.5870048799254,50.5854082723075,49.6276153163685,136,NA,2020-05-10,2020-05-10T06:27:01Z
R_1q1H4P1JNUkRMWrBr,621783,update,original,Change of Policy,Strengthening,"Lebanon has asked all schools, universities and nurseries to close from February 29 through March 14.",2020-03-06,2020-03-06,2020-05-28,Lebanon,LBN,LB,National,0,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Lebanon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,51.5870048799254,50.5854082723075,49.6276153163685,136,NA,2020-05-10,2020-05-10T06:27:01Z
R_1QDV18TINxXfJchDi,621783,update,original,Change of Policy,Strengthening,"Lebanon has asked all schools, universities and nurseries to close from February 29 through March 22.",2020-03-15,2020-03-15,2020-05-28,Lebanon,LBN,LB,National,0,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Lebanon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,52.2209253367549,51.326826552357,50.5178880601252,104,NA,2020-05-10,2020-05-10T06:29:42Z
R_1QDV18TINxXfJchDk,621783,update,original,Change of Policy,Strengthening,"Lebanon has asked all schools, universities and nurseries to close from February 29 through March 22.",2020-03-15,2020-03-15,2020-05-28,Lebanon,LBN,LB,National,0,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Lebanon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,52.2209253367549,51.326826552357,50.5178880601252,104,NA,2020-05-10,2020-05-10T06:29:42Z
R_1QDV18TINxXfJchEj,621783,update,original,Change of Policy,Strengthening,"Lebanon has asked all schools, universities and nurseries to close from February 29 through March 22.",2020-03-15,2020-03-15,2020-05-28,Lebanon,LBN,LB,National,0,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Lebanon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,52.2209253367549,51.326826552357,50.5178880601252,104,NA,2020-05-10,2020-05-10T06:29:42Z
R_1QDV18TINxXfJchBr,621783,update,original,Change of Policy,Strengthening,"Lebanon has asked all schools, universities and nurseries to close from February 29 through March 22.",2020-03-15,2020-03-15,2020-05-28,Lebanon,LBN,LB,National,0,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Lebanon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,52.2209253367549,51.326826552357,50.5178880601252,104,NA,2020-05-10,2020-05-10T06:29:42Z
R_3kiDZzsVvL396rjDi,621783,update,original,End of Policy,Strengthening,"Lebanon asked all schools, universities and nurseries to close from February 29 through May 28, 2020.",2020-05-09,2020-05-28,2020-05-28,Lebanon,LBN,LB,National,0,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Lebanon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,,,,,NA,2020-05-10,2020-05-10T06:48:01Z
