"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2qlSBRQwnRz5OIjNA","1812963","new_entry","original",NA,NA,"The Health Ministry advised the public not to be fooled and believe in information and news being disseminated over the Internet or through other media such as  Whatsapp, Twitter, and  Facebook without ascertaining its authenticity.",2020-05-08,2020-05-08,NA,"Brunei","BRN","BN","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Brunei",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health",NA,NA,NA,NA,"https://thescoop.co/2020/05/01/covid-19-live-updates-3/",2020-07-12,2020-07-12 22:58:57
"2","R_3EKGinRZTHfniJzNA","7484894","new_entry","original",NA,NA,"The Health Ministry urged the public not to discriminate against coronavirus-infected",2020-05-08,2020-05-08,NA,"Brunei","BRN","BN","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Brunei",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health",NA,NA,NA,NA,"https://thescoop.co/2020/05/01/covid-19-live-updates-3/",2020-07-12,2020-07-12 22:51:56
"3","R_1mQ8xoVNaqioBBGNA","9468971","new_entry","original",NA,NA,"Health Ministry informed that whether orally or in writing or by any other means, disseminates false reports, or makes false statements,  resulting in disruptive public order is punishable by up to three-year imprisonment and fined up to BND3,000.",2020-05-08,2020-05-08,NA,"Brunei","BRN","BN","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Brunei",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","Ministry/Department of Health",NA,NA,NA,NA,"https://thescoop.co/2020/05/01/covid-19-live-updates-3/",2020-07-12,2020-07-12 23:10:48
"4","R_2ASUMprEgyabm74Cw","1531726","new_entry","original",NA,NA,"school term break in Brunei is moved up",2020-02-10,2020-03-11,NA,"Brunei","BRN","BN","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Brunei",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",52.2339095452717,51.3417526954665,50.405490372074,145,"https://www.straitstimes.com/asia/se-asia/coronavirus-brunei-reports-5-more-cases-bringing-total-to-six",2020-04-06,2020-04-06 21:41:58
"5","R_6tiSkDaNnsYmeidBh","4707216","new_entry","original",NA,NA,"Brunei Universities suspend classroom learning",2020-03-13,2020-03-13,NA,"Brunei","BRN","BN","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Brunei",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.8039454003825,51.868827687387,50.7354400288677,148,"https://thescoop.co/2020/03/13/covid-19-cases-more-than-double-to-reach-25/",2020-04-08,2020-04-08 23:01:48
"6","R_57JAJ549auWarHbBh","4707216","update","original",NA,"Strengthening","All Bruneian' schools and universities to move classes online",2020-03-25,2020-03-29,NA,"Brunei","BRN","BN","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Brunei",NA,NA,NA,NA,NA,"Other",NA,NA,"Mandatory (Unspecified/Implied)","National Government",57.0899711820779,54.2678593786475,51.0629338013297,173,"https://thescoop.co/2020/03/13/covid-19-live-updates/",2020-04-21,2020-04-21 21:53:22
"7","R_T4LleYVkFoey29HDr","9161672","new_entry","original",NA,NA,"Brunei will restart in-school learning on June 2 for students who are sitting for public exams. Students in Year 6, 8, 10 Express, 11, 12 and 13 will be the first group to return to schools in the first phase of reopening, while other pupils will continue with online lessons. Teachers will conduct face-to-face learning from June 2-13 in the first phase of school reopening, after which the education ministry will decide whether to expand the number of returning students in the next phase.",2020-05-21,2020-06-02,2020-06-13,"Brunei","BRN","BN","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools allowed to open with conditions","Brunei",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Other (Please specify in the text box)",NA,NA,NA,NA,"https://thescoop.co/2020/05/21/brunei-partially-reopens-schools-on-june-2-as-coronavirus-concerns-ease/",2020-09-24,2020-09-24 13:48:00
"8","R_T4LleYVkFoey29HBh","9161672","new_entry","original",NA,NA,"Brunei will restart in-school learning on June 2 for students who are sitting for public exams. Students in Year 6, 8, 10 Express, 11, 12 and 13 will be the first group to return to schools in the first phase of reopening, while other pupils will continue with online lessons. Teachers will conduct face-to-face learning from June 2-13 in the first phase of school reopening, after which the education ministry will decide whether to expand the number of returning students in the next phase.",2020-05-21,2020-06-02,2020-06-13,"Brunei","BRN","BN","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions allowed to open with conditions","Brunei",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Other (Please specify in the text box)",NA,NA,NA,NA,"https://thescoop.co/2020/05/21/brunei-partially-reopens-schools-on-june-2-as-coronavirus-concerns-ease/",2020-09-24,2020-09-24 13:48:00
"9","R_2UfnlFa339myNDpCu","4051694","new_entry","original",NA,NA,"Nursery, primary students in Brunei return to schools from June 18 in second phase of reopening, with safe distancing measures in place. 
",2020-06-16,2020-06-18,NA,"Brunei","BRN","BN","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities allowed to open with conditions","Brunei",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://thescoop.co/2020/06/01/covid-19-live-updates-4/",2020-09-24,2020-09-24 15:50:05
"10","R_2UfnlFa339myNDpCw","4051694","new_entry","original",NA,NA,"Nursery, primary students in Brunei return to schools from June 18 in second phase of reopening, with safe distancing measures in place. 
",2020-06-16,2020-06-18,NA,"Brunei","BRN","BN","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools allowed to open with conditions","Brunei",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://thescoop.co/2020/06/01/covid-19-live-updates-4/",2020-09-24,2020-09-24 15:50:05
