"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_1DXOiLErzRKc0B4Dg",1225780,"new_entry","original","NA",NA,"Haiti: The new COVID-19 strategy developed by MSPP and UN partners has been adopted by the Multisectoral Commission. It aims at fighting disbelief, denial and refusal behaviours as positive cases
increase. The strategy will use more deeply rooted socio-cultural messages, embodied by credible influencers,
community and religious leaders, as well as coordinate institutional and community-led messaging and reinforce
digital media, radio and TV.",2020-04-18,2020-04-18,NA,"Haiti","HTI","HT","National",0,NA,NA,"Anti-Disinformation Measures","Other Quarantine",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/20200428_-_flash_update_no._5_covid-19_-_ocha_haiti_-_en.pdf",2020-06-16,"2020-06-16 17:06:00"
"2","R_1DXOiLErzRKc0B4Ci",1225780,"new_entry","original","NA",NA,"Haiti: The new COVID-19 strategy developed by MSPP and UN partners has been adopted by the Multisectoral Commission. It aims at fighting disbelief, denial and refusal behaviours as positive cases
increase. The strategy will use more deeply rooted socio-cultural messages, embodied by credible influencers,
community and religious leaders, as well as coordinate institutional and community-led messaging and reinforce
digital media, radio and TV.",2020-04-18,2020-04-18,NA,"Haiti","HTI","HT","National",0,NA,NA,"Anti-Disinformation Measures","Lockdown applies to all people",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/20200428_-_flash_update_no._5_covid-19_-_ocha_haiti_-_en.pdf",2020-06-16,"2020-06-16 17:06:00"
"3","R_1DXOiLErzRKc0B4Dc",1225780,"new_entry","original","NA",NA,"Haiti: The new COVID-19 strategy developed by MSPP and UN partners has been adopted by the Multisectoral Commission. It aims at fighting disbelief, denial and refusal behaviours as positive cases
increase. The strategy will use more deeply rooted socio-cultural messages, embodied by credible influencers,
community and religious leaders, as well as coordinate institutional and community-led messaging and reinforce
digital media, radio and TV.",2020-04-18,2020-04-18,NA,"Haiti","HTI","HT","National",0,NA,NA,"Anti-Disinformation Measures","Other mass gatherings not specified above restricted",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/20200428_-_flash_update_no._5_covid-19_-_ocha_haiti_-_en.pdf",2020-06-16,"2020-06-16 17:06:00"
"4","R_1DXOiLErzRKc0B4Ch",1225780,"new_entry","original","NA",NA,"Haiti: The new COVID-19 strategy developed by MSPP and UN partners has been adopted by the Multisectoral Commission. It aims at fighting disbelief, denial and refusal behaviours as positive cases
increase. The strategy will use more deeply rooted socio-cultural messages, embodied by credible influencers,
community and religious leaders, as well as coordinate institutional and community-led messaging and reinforce
digital media, radio and TV.",2020-04-18,2020-04-18,NA,"Haiti","HTI","HT","National",0,NA,NA,"Anti-Disinformation Measures","Keeping a distance of at least 6 feet or 1.5 meters apart",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/20200428_-_flash_update_no._5_covid-19_-_ocha_haiti_-_en.pdf",2020-06-16,"2020-06-16 17:06:00"
"5","R_1DXOiLErzRKc0B4Ei",1225780,"new_entry","original","NA",NA,"Haiti: The new COVID-19 strategy developed by MSPP and UN partners has been adopted by the Multisectoral Commission. It aims at fighting disbelief, denial and refusal behaviours as positive cases
increase. The strategy will use more deeply rooted socio-cultural messages, embodied by credible influencers,
community and religious leaders, as well as coordinate institutional and community-led messaging and reinforce
digital media, radio and TV.",2020-04-18,2020-04-18,NA,"Haiti","HTI","HT","National",0,NA,NA,"Anti-Disinformation Measures","Restrictions on ridership of buses",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/20200428_-_flash_update_no._5_covid-19_-_ocha_haiti_-_en.pdf",2020-06-16,"2020-06-16 17:06:00"
"6","R_1DXOiLErzRKc0B4El",1225780,"new_entry","original","NA",NA,"Haiti: The new COVID-19 strategy developed by MSPP and UN partners has been adopted by the Multisectoral Commission. It aims at fighting disbelief, denial and refusal behaviours as positive cases
increase. The strategy will use more deeply rooted socio-cultural messages, embodied by credible influencers,
community and religious leaders, as well as coordinate institutional and community-led messaging and reinforce
digital media, radio and TV.",2020-04-18,2020-04-18,NA,"Haiti","HTI","HT","National",0,NA,NA,"Anti-Disinformation Measures","Restrictions ridership of other forms of public transportation (please include details in the text entry)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/20200428_-_flash_update_no._5_covid-19_-_ocha_haiti_-_en.pdf",2020-06-16,"2020-06-16 17:06:00"
"7","R_1DXOiLErzRKc0B4Aq",1225780,"new_entry","original","NA",NA,"Haiti: The new COVID-19 strategy developed by MSPP and UN partners has been adopted by the Multisectoral Commission. It aims at fighting disbelief, denial and refusal behaviours as positive cases
increase. The strategy will use more deeply rooted socio-cultural messages, embodied by credible influencers,
community and religious leaders, as well as coordinate institutional and community-led messaging and reinforce
digital media, radio and TV.",2020-04-18,2020-04-18,NA,"Haiti","HTI","HT","National",0,NA,NA,"Anti-Disinformation Measures","82800",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/20200428_-_flash_update_no._5_covid-19_-_ocha_haiti_-_en.pdf",2020-06-16,"2020-06-16 17:06:00"
"8","R_1DXOiLErzRKc0B4Ad",1225780,"new_entry","original","NA",NA,"Haiti: The new COVID-19 strategy developed by MSPP and UN partners has been adopted by the Multisectoral Commission. It aims at fighting disbelief, denial and refusal behaviours as positive cases
increase. The strategy will use more deeply rooted socio-cultural messages, embodied by credible influencers,
community and religious leaders, as well as coordinate institutional and community-led messaging and reinforce
digital media, radio and TV.",2020-04-18,2020-04-18,NA,"Haiti","HTI","HT","National",0,NA,NA,"Anti-Disinformation Measures","21600",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/20200428_-_flash_update_no._5_covid-19_-_ocha_haiti_-_en.pdf",2020-06-16,"2020-06-16 17:06:00"
"9","R_1DXOiLErzRKc0B4Dn",1225780,"new_entry","original","NA",NA,"Haiti: The new COVID-19 strategy developed by MSPP and UN partners has been adopted by the Multisectoral Commission. It aims at fighting disbelief, denial and refusal behaviours as positive cases
increase. The strategy will use more deeply rooted socio-cultural messages, embodied by credible influencers,
community and religious leaders, as well as coordinate institutional and community-led messaging and reinforce
digital media, radio and TV.",2020-04-18,2020-04-18,NA,"Haiti","HTI","HT","National",0,NA,NA,"Anti-Disinformation Measures","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/20200428_-_flash_update_no._5_covid-19_-_ocha_haiti_-_en.pdf",2020-06-16,"2020-06-16 17:06:00"
"10","R_1DXOiLErzRKc0B4Dp",1225780,"new_entry","original","NA",NA,"Haiti: The new COVID-19 strategy developed by MSPP and UN partners has been adopted by the Multisectoral Commission. It aims at fighting disbelief, denial and refusal behaviours as positive cases
increase. The strategy will use more deeply rooted socio-cultural messages, embodied by credible influencers,
community and religious leaders, as well as coordinate institutional and community-led messaging and reinforce
digital media, radio and TV.",2020-04-18,2020-04-18,NA,"Haiti","HTI","HT","National",0,NA,NA,"Anti-Disinformation Measures","Primary Schools (generally for children ages 10 and below)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/20200428_-_flash_update_no._5_covid-19_-_ocha_haiti_-_en.pdf",2020-06-16,"2020-06-16 17:06:00"
