"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_1oA05cfexpooo5bDn",43464,"new_entry","original","NA",NA,"Monaco is enforcing a Closure of Schools after March 16.",2020-03-14,2020-03-16,2020-05-18,"Monaco","MCO","MC","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Monaco",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,NA,"National Government",53.5160430196713,52.5917497452512,51.6925952651238,151,"https://www.hellomonaco.com/news/latest-news/closure-of-creches-and-schools-in-monaco-and-increasing-prudent-restrictions-due-to-coronavirus/",2020-03-30,"2020-03-30 14:22:08"
"2","R_1oA05cfexpooo5bDp",43464,"new_entry","original","NA",NA,"Monaco is enforcing a Closure of Schools after March 16.",2020-03-14,2020-03-16,2020-05-18,"Monaco","MCO","MC","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Monaco",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,NA,"National Government",53.5160430196713,52.5917497452512,51.6925952651238,151,"https://www.hellomonaco.com/news/latest-news/closure-of-creches-and-schools-in-monaco-and-increasing-prudent-restrictions-due-to-coronavirus/",2020-03-30,"2020-03-30 14:22:08"
"3","R_1oA05cfexpooo5bEn",43464,"new_entry","original","NA",NA,"Monaco is enforcing a Closure of Schools after March 16.",2020-03-14,2020-03-16,2020-05-18,"Monaco","MCO","MC","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Monaco",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,NA,"National Government",53.5160430196713,52.5917497452512,51.6925952651238,151,"https://www.hellomonaco.com/news/latest-news/closure-of-creches-and-schools-in-monaco-and-increasing-prudent-restrictions-due-to-coronavirus/",2020-03-30,"2020-03-30 14:22:08"
"4","R_1oA05cfexpooo5bBy",43464,"new_entry","original","NA",NA,"Monaco is enforcing a Closure of Schools after March 16.",2020-03-14,2020-03-16,2020-05-18,"Monaco","MCO","MC","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Monaco",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,NA,"National Government",53.5160430196713,52.5917497452512,51.6925952651238,151,"https://www.hellomonaco.com/news/latest-news/closure-of-creches-and-schools-in-monaco-and-increasing-prudent-restrictions-due-to-coronavirus/",2020-03-30,"2020-03-30 14:22:08"
"5","R_3OlFmw6MYxlNUHQDn",2796645,"new_entry","original","NA",NA,"Monaco allowing return of lycée pupils (Year 12 (1ère), Year 13 (Terminale) and BTS students) to school on May 11, while other classes continue education remotely until May 18.",2020-04-15,2020-05-11,2020-05-18,"Monaco","MCO","MC","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"","Monaco",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://monacolife.net/masks-schools-reopening-next-step/",2020-07-08,"2020-07-08 22:19:30"
"6","R_3OlFmw6MYxlNUHQDp",2796645,"new_entry","original","NA",NA,"Monaco allowing return of lycée pupils (Year 12 (1ère), Year 13 (Terminale) and BTS students) to school on May 11, while other classes continue education remotely until May 18.",2020-04-15,2020-05-11,2020-05-18,"Monaco","MCO","MC","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Monaco",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://monacolife.net/masks-schools-reopening-next-step/",2020-07-08,"2020-07-08 22:19:30"
"7","R_3OlFmw6MYxlNUHQEn",2796645,"new_entry","original","NA",NA,"Monaco allowing return of lycée pupils (Year 12 (1ère), Year 13 (Terminale) and BTS students) to school on May 11, while other classes continue education remotely until May 18.",2020-04-15,2020-05-11,2020-05-18,"Monaco","MCO","MC","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools allowed to open with conditions","Monaco",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://monacolife.net/masks-schools-reopening-next-step/",2020-07-08,"2020-07-08 22:19:30"
"8","R_3OlFmw6MYxlNUHQBy",2796645,"new_entry","original","NA",NA,"Monaco allowing return of lycée pupils (Year 12 (1ère), Year 13 (Terminale) and BTS students) to school on May 11, while other classes continue education remotely until May 18.",2020-04-15,2020-05-11,2020-05-18,"Monaco","MCO","MC","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"","Monaco",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://monacolife.net/masks-schools-reopening-next-step/",2020-07-08,"2020-07-08 22:19:30"
"9","R_ZBQZsONIp3dkNYlDn",43464,"update","original","End of Policy",NA,"Monaco is enforcing a Closure of Schools after March 16. Schools start re-opening on May 11, allowing Secondary School Year 12, 13 and BTS students to return to class.",2020-04-15,2020-05-11,2020-05-18,"Monaco","MCO","MC","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"","Monaco",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,NA,"National Government",NA,NA,NA,NA,"https://www.hellomonaco.com/news/latest-news/closure-of-creches-and-schools-in-monaco-and-increasing-prudent-restrictions-due-to-coronavirus/",2020-07-08,"2020-07-08 21:53:17"
"10","R_ZBQZsONIp3dkNYlDp",43464,"update","original","End of Policy",NA,"Monaco is enforcing a Closure of Schools after March 16. Schools start re-opening on May 11, allowing Secondary School Year 12, 13 and BTS students to return to class.",2020-04-15,2020-05-11,2020-05-18,"Monaco","MCO","MC","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Monaco",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,NA,"National Government",NA,NA,NA,NA,"https://www.hellomonaco.com/news/latest-news/closure-of-creches-and-schools-in-monaco-and-increasing-prudent-restrictions-due-to-coronavirus/",2020-07-08,"2020-07-08 21:53:17"
