record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_O0Soy87bFsdv8pHNA,1904554,new_entry,original,,,"On March 20th, Lyon published an announcement warning against scammers taking advantage of the Covid-19 pandemic, including those selling hand sanitizer at prices higher than the national fixed price. The city ""reminds individuals that there does not currently exist any vaccine, food, air purifier, lamp, dietary supplement, or any other product that protects from or cures COVID 19."" The announcement also reminded readers that ""COVID 19 tests are carried out by health authorities via medical prescription. No other organization or individual is allowed to process these tests.""
The announcement warns that purchasing paracetamol online is illegal, and warns against scams of home decontamination procedures, stating that ""no home decontamination procedures are scheduled by the government at this time. Those pretending to carry out a mandatory decontamination are unauthorized to do so and are looking to gain access into unsuspecting peoples' houses.""",2020-03-20,2020-03-20,,France,FRA,FR,Municipal,0,Auvergne-Rhone-Alpes,Lyon,Anti-Disinformation Measures,,,"",France,,,Auvergne-Rhone-Alpes,Lyon,,,,,Voluntary/Recommended but No Penalties,Municipal Government,53.1878258319705,52.0733731771261,51.0086498061678,113,https://www.lyon.fr/actualite/campagne-dinformation/covid-19-attention-aux-arnaques-commerciales,2020-07-13,2020-07-13T18:43:32Z
R_1g8yjbXkSc3otnIDi,6900732,new_entry,original,,,"From March 2, 2020, in France, in five municipalities of Oise (Creil, Lamorlaye, Crépy-en-Valois, Vaumoise, and Lagny-le-Sec), ""schools which have had contact cases and which therefore present a higher risk will be closed""",2020-02-29,2020-03-02,,France,FRA,FR,Municipal,1,Hauts-de-France,"Creil, Lamorlaye, Crépy-en-Valois, Vaumoise, Lagny-le-Sec",Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,France,,,Hauts-de-France,"Creil, Lamorlaye, Crépy-en-Valois, Vaumoise, Lagny-le-Sec",,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government,Municipal Government",50.7905388841706,49.2908992045258,47.0929958772767,92,https://www.europe1.fr/sante/en-direct-coronavirus-suivez-levolution-de-la-situation-samedi-29-fevrier-3952347,2020-04-02,2020-04-02T18:19:16Z
R_1g8yjbXkSc3otnIDk,6900732,new_entry,original,,,"From March 2, 2020, in France, in five municipalities of Oise (Creil, Lamorlaye, Crépy-en-Valois, Vaumoise, and Lagny-le-Sec), ""schools which have had contact cases and which therefore present a higher risk will be closed""",2020-02-29,2020-03-02,,France,FRA,FR,Municipal,1,Hauts-de-France,"Creil, Lamorlaye, Crépy-en-Valois, Vaumoise, Lagny-le-Sec",Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,France,,,Hauts-de-France,"Creil, Lamorlaye, Crépy-en-Valois, Vaumoise, Lagny-le-Sec",,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government,Municipal Government",50.7905388841706,49.2908992045258,47.0929958772767,92,https://www.europe1.fr/sante/en-direct-coronavirus-suivez-levolution-de-la-situation-samedi-29-fevrier-3952347,2020-04-02,2020-04-02T18:19:16Z
R_1g8yjbXkSc3otnIEi,6900732,new_entry,original,,,"From March 2, 2020, in France, in five municipalities of Oise (Creil, Lamorlaye, Crépy-en-Valois, Vaumoise, and Lagny-le-Sec), ""schools which have had contact cases and which therefore present a higher risk will be closed""",2020-02-29,2020-03-02,,France,FRA,FR,Municipal,1,Hauts-de-France,"Creil, Lamorlaye, Crépy-en-Valois, Vaumoise, Lagny-le-Sec",Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,France,,,Hauts-de-France,"Creil, Lamorlaye, Crépy-en-Valois, Vaumoise, Lagny-le-Sec",,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government,Municipal Government",50.7905388841706,49.2908992045258,47.0929958772767,92,https://www.europe1.fr/sante/en-direct-coronavirus-suivez-levolution-de-la-situation-samedi-29-fevrier-3952347,2020-04-02,2020-04-02T18:19:16Z
R_9EwJS82unwuogdHDi,6900732,update,original,,,"On March 1, the French municipalities of Villers-Saint-Paul, Montataire, Nogent-sur-Oise, and Lacroix-Saint-Ouen were added to the list for potential school closures in case of contact cases.",2020-03-01,2020-03-02,,France,FRA,FR,Municipal,1,Hauts-de-France,"Villers-Saint-Paul, Montataire, Nogent-sur-Oise, Lacroix-Saint-Ouen",Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,France,,,Hauts-de-France,"Villers-Saint-Paul, Montataire, Nogent-sur-Oise, Lacroix-Saint-Ouen",,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government,Municipal Government",50.7905388841706,49.2908992045258,47.0929958772767,92,http://www.leparisien.fr/societe/coronavirus-dans-l-oise-huit-communes-a-l-heure-de-l-isolement-01-03-2020-8269959.php,2020-04-02,2020-04-02T18:25:12Z
R_9EwJS82unwuogdHDk,6900732,update,original,,,"On March 1, the French municipalities of Villers-Saint-Paul, Montataire, Nogent-sur-Oise, and Lacroix-Saint-Ouen were added to the list for potential school closures in case of contact cases.",2020-03-01,2020-03-02,,France,FRA,FR,Municipal,1,Hauts-de-France,"Villers-Saint-Paul, Montataire, Nogent-sur-Oise, Lacroix-Saint-Ouen",Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,France,,,Hauts-de-France,"Villers-Saint-Paul, Montataire, Nogent-sur-Oise, Lacroix-Saint-Ouen",,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government,Municipal Government",50.7905388841706,49.2908992045258,47.0929958772767,92,http://www.leparisien.fr/societe/coronavirus-dans-l-oise-huit-communes-a-l-heure-de-l-isolement-01-03-2020-8269959.php,2020-04-02,2020-04-02T18:25:12Z
R_9EwJS82unwuogdHEi,6900732,update,original,,,"On March 1, the French municipalities of Villers-Saint-Paul, Montataire, Nogent-sur-Oise, and Lacroix-Saint-Ouen were added to the list for potential school closures in case of contact cases.",2020-03-01,2020-03-02,,France,FRA,FR,Municipal,1,Hauts-de-France,"Villers-Saint-Paul, Montataire, Nogent-sur-Oise, Lacroix-Saint-Ouen",Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,France,,,Hauts-de-France,"Villers-Saint-Paul, Montataire, Nogent-sur-Oise, Lacroix-Saint-Ouen",,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government,Municipal Government",50.7905388841706,49.2908992045258,47.0929958772767,92,http://www.leparisien.fr/societe/coronavirus-dans-l-oise-huit-communes-a-l-heure-de-l-isolement-01-03-2020-8269959.php,2020-04-02,2020-04-02T18:25:12Z
R_3DbH3TQc5kgONwfDi,5676228,new_entry,original,,,"From March 6, the department Haut-Rhin in France declares the closure of nurseries, schools, and universities throughout the Haut-Rhin department for 15 days.",2020-03-06,2020-03-06,2020-05-11,France,FRA,FR,Municipal,1,Grand Est,department Haut-Rhin,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,France,,,Grand Est,department Haut-Rhin,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Municipal Government",51.3276913228656,49.9180551817979,48.2482859451666,107,https://www.dna.fr/fil-info/2020/03/06/les-creches-maternelles-colleges-et-lycees-du-haut-rhin-fermes-pour-15-jours,2020-04-02,2020-04-02T19:02:50Z
R_3DbH3TQc5kgONwfDk,5676228,new_entry,original,,,"From March 6, the department Haut-Rhin in France declares the closure of nurseries, schools, and universities throughout the Haut-Rhin department for 15 days.",2020-03-06,2020-03-06,2020-05-11,France,FRA,FR,Municipal,1,Grand Est,department Haut-Rhin,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,France,,,Grand Est,department Haut-Rhin,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Municipal Government",51.3276913228656,49.9180551817979,48.2482859451666,107,https://www.dna.fr/fil-info/2020/03/06/les-creches-maternelles-colleges-et-lycees-du-haut-rhin-fermes-pour-15-jours,2020-04-02,2020-04-02T19:02:50Z
R_3DbH3TQc5kgONwfEi,5676228,new_entry,original,,,"From March 6, the department Haut-Rhin in France declares the closure of nurseries, schools, and universities throughout the Haut-Rhin department for 15 days.",2020-03-06,2020-03-06,2020-05-11,France,FRA,FR,Municipal,1,Grand Est,department Haut-Rhin,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,France,,,Grand Est,department Haut-Rhin,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Municipal Government",51.3276913228656,49.9180551817979,48.2482859451666,107,https://www.dna.fr/fil-info/2020/03/06/les-creches-maternelles-colleges-et-lycees-du-haut-rhin-fermes-pour-15-jours,2020-04-02,2020-04-02T19:02:50Z
