"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2taRl4VbWU6yszTNA","8637046","new_entry","original",NA,NA,"All Government bodies in Eritrea will issue and observe detailed guidelines to implement all measures taken to-date in their respective institutions.",2020-03-30,2020-03-30,NA,"Eritrea","ERI","ER","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Ministry/Department of Health,Other (Please specify in the text box)",53.6450348267811,52.5213527842166,51.5079142853089,90,"https://www.africanews.com/2020/04/18/eritrea-s-coronavirus-rules-chinese-italians-iranians-to-be-quarantined/",2020-05-01,2020-05-01 22:51:33
"2","R_3iy5ZZtGNEexX8OCv","3594629","new_entry","original",NA,NA,"Authorities in Eritrea ordered the closure of all educational institutions across the country as of March 27, 2020. The ministry said the new lockdown measures will remain effective until further notice.",2020-03-27,2020-03-27,NA,"Eritrea","ERI","ER","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Eritrea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","National Government",52.8586766266784,51.9881640744652,50.9178733945484,71,"https://www.nation.co.ke/news/africa/Eritrea-enters-day-one-of-nationwide-lockdown/1066-5506474-w0xyme/index.html",2020-05-01,2020-05-01 21:21:14
"3","R_3iy5ZZtGNEexX8OCw","3594629","new_entry","original",NA,NA,"Authorities in Eritrea ordered the closure of all educational institutions across the country as of March 27, 2020. The ministry said the new lockdown measures will remain effective until further notice.",2020-03-27,2020-03-27,NA,"Eritrea","ERI","ER","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Eritrea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","National Government",52.8586766266784,51.9881640744652,50.9178733945484,71,"https://www.nation.co.ke/news/africa/Eritrea-enters-day-one-of-nationwide-lockdown/1066-5506474-w0xyme/index.html",2020-05-01,2020-05-01 21:21:14
"4","R_3iy5ZZtGNEexX8ODr","3594629","new_entry","original",NA,NA,"Authorities in Eritrea ordered the closure of all educational institutions across the country as of March 27, 2020. The ministry said the new lockdown measures will remain effective until further notice.",2020-03-27,2020-03-27,NA,"Eritrea","ERI","ER","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Eritrea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","National Government",52.8586766266784,51.9881640744652,50.9178733945484,71,"https://www.nation.co.ke/news/africa/Eritrea-enters-day-one-of-nationwide-lockdown/1066-5506474-w0xyme/index.html",2020-05-01,2020-05-01 21:21:14
"5","R_3iy5ZZtGNEexX8OBg","3594629","new_entry","original",NA,NA,"Authorities in Eritrea ordered the closure of all educational institutions across the country as of March 27, 2020. The ministry said the new lockdown measures will remain effective until further notice.",2020-03-27,2020-03-27,NA,"Eritrea","ERI","ER","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Eritrea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","National Government",52.8586766266784,51.9881640744652,50.9178733945484,71,"https://www.nation.co.ke/news/africa/Eritrea-enters-day-one-of-nationwide-lockdown/1066-5506474-w0xyme/index.html",2020-05-01,2020-05-01 21:21:14
"6","R_1hyFfzM8S7X6gsnCv","5734675","new_entry","original",NA,NA,"The Ministry of Health of Eritrea announces that all institutions of learning - from Kindergarten to Colleges - will be closed starting from 27th March 2020, issued on 26th March 2020.",2020-03-26,2020-03-27,NA,"Eritrea","ERI","ER","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Eritrea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.8586766266784,51.9881640744652,50.9178733945484,71,"shabait.com/news/local-news/30367-ministry-of-health-public-announcement-no-5",2020-04-03,2020-04-03 18:03:35
"7","R_1hyFfzM8S7X6gsnCw","5734675","new_entry","original",NA,NA,"The Ministry of Health of Eritrea announces that all institutions of learning - from Kindergarten to Colleges - will be closed starting from 27th March 2020, issued on 26th March 2020.",2020-03-26,2020-03-27,NA,"Eritrea","ERI","ER","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Eritrea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.8586766266784,51.9881640744652,50.9178733945484,71,"shabait.com/news/local-news/30367-ministry-of-health-public-announcement-no-5",2020-04-03,2020-04-03 18:03:35
"8","R_1hyFfzM8S7X6gsnDr","5734675","new_entry","original",NA,NA,"The Ministry of Health of Eritrea announces that all institutions of learning - from Kindergarten to Colleges - will be closed starting from 27th March 2020, issued on 26th March 2020.",2020-03-26,2020-03-27,NA,"Eritrea","ERI","ER","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Eritrea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.8586766266784,51.9881640744652,50.9178733945484,71,"shabait.com/news/local-news/30367-ministry-of-health-public-announcement-no-5",2020-04-03,2020-04-03 18:03:35
"9","R_1hyFfzM8S7X6gsnBg","5734675","new_entry","original",NA,NA,"The Ministry of Health of Eritrea announces that all institutions of learning - from Kindergarten to Colleges - will be closed starting from 27th March 2020, issued on 26th March 2020.",2020-03-26,2020-03-27,NA,"Eritrea","ERI","ER","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Eritrea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.8586766266784,51.9881640744652,50.9178733945484,71,"shabait.com/news/local-news/30367-ministry-of-health-public-announcement-no-5",2020-04-03,2020-04-03 18:03:35
"10","R_2Ec6V3l5IG66fvyNA","899945","new_entry","original",NA,NA,"The Ministry of Health of Eritrea announces that members of a household, not exceeding two at a time, are allowed to go out from their homes to buy essential food items during the day. This conditional permission also holds for emergency medical treatment. With the exception of citizens employed in institutions that will continue their functions, all other individuals confined to their homes are not allowed to use their private cars during this period.",2020-04-01,2020-04-02,2020-04-22,"Eritrea","ERI","ER","National",1,NA,NA,"Curfew",NA,NA,"","Eritrea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Police",55.1563013858807,54.1136257305383,53.0710663340787,167,"shabait.com/news/local-news/30407-guidelines-from-the-high-level-task-force-on-covid-19",2020-04-03,2020-04-03 19:12:18
