record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_2xPMR869rO4gtLBDf,4969360,new_entry,original,,,On March 13 the Gabonese Government announced the closure of schools Until 1st of April.,2020-03-13,2020-03-13,2020-04-01,Gabon,GAB,GA,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Gabon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,51.3984206992375,49.9995687148074,47.9248110048718,70,https://www.facebook.com/watch/?v=532053067452245,2020-10-23,2020-10-23T08:03:31Z
R_2xPMR869rO4gtLBDh,4969360,new_entry,original,,,On March 13 the Gabonese Government announced the closure of schools Until 1st of April.,2020-03-13,2020-03-13,2020-04-01,Gabon,GAB,GA,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Gabon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,51.3984206992375,49.9995687148074,47.9248110048718,70,https://www.facebook.com/watch/?v=532053067452245,2020-10-23,2020-10-23T08:03:31Z
R_2xPMR869rO4gtLBEd,4969360,new_entry,original,,,On March 13 the Gabonese Government announced the closure of schools Until 1st of April.,2020-03-13,2020-03-13,2020-04-01,Gabon,GAB,GA,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Gabon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,51.3984206992375,49.9995687148074,47.9248110048718,70,https://www.facebook.com/watch/?v=532053067452245,2020-10-23,2020-10-23T08:03:31Z
R_2xPMR869rO4gtLBBo,4969360,new_entry,original,,,On March 13 the Gabonese Government announced the closure of schools Until 1st of April.,2020-03-13,2020-03-13,2020-04-01,Gabon,GAB,GA,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Gabon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,51.3984206992375,49.9995687148074,47.9248110048718,70,https://www.facebook.com/watch/?v=532053067452245,2020-10-23,2020-10-23T08:03:31Z
R_9zU972Egi2eTzepDf,6445427,new_entry,original,,,"Beginning on March 16, Gabon closes all preschools, schools, and universities for a period of 15 days.",2020-03-13,2020-03-16,2020-03-30,Gabon,GAB,GA,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Gabon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.4133176208832,52.4418804345624,51.4744676741427,146,https://www.gabonmediatime.com/gabon-fermeture-provisoire-des-etablissements-superieurs-publics-et-prives-pour-cause-de-coronavirus/ ; https://ga.usembassy.gov/u-s-citizen-services/coronavirus-update/ ; https://www.gabonmediatime.com/covid-19-prolongation-de-la-fermeture-des-etablissements-scolaires/,2020-04-03,2020-04-03T16:50:28Z
R_9zU972Egi2eTzepDh,6445427,new_entry,original,,,"Beginning on March 16, Gabon closes all preschools, schools, and universities for a period of 15 days.",2020-03-13,2020-03-16,2020-03-30,Gabon,GAB,GA,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Gabon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.4133176208832,52.4418804345624,51.4744676741427,146,https://www.gabonmediatime.com/gabon-fermeture-provisoire-des-etablissements-superieurs-publics-et-prives-pour-cause-de-coronavirus/ ; https://ga.usembassy.gov/u-s-citizen-services/coronavirus-update/ ; https://www.gabonmediatime.com/covid-19-prolongation-de-la-fermeture-des-etablissements-scolaires/,2020-04-03,2020-04-03T16:50:28Z
R_9zU972Egi2eTzepEd,6445427,new_entry,original,,,"Beginning on March 16, Gabon closes all preschools, schools, and universities for a period of 15 days.",2020-03-13,2020-03-16,2020-03-30,Gabon,GAB,GA,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Gabon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.4133176208832,52.4418804345624,51.4744676741427,146,https://www.gabonmediatime.com/gabon-fermeture-provisoire-des-etablissements-superieurs-publics-et-prives-pour-cause-de-coronavirus/ ; https://ga.usembassy.gov/u-s-citizen-services/coronavirus-update/ ; https://www.gabonmediatime.com/covid-19-prolongation-de-la-fermeture-des-etablissements-scolaires/,2020-04-03,2020-04-03T16:50:28Z
R_9zU972Egi2eTzepBo,6445427,new_entry,original,,,"Beginning on March 16, Gabon closes all preschools, schools, and universities for a period of 15 days.",2020-03-13,2020-03-16,2020-03-30,Gabon,GAB,GA,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Gabon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.4133176208832,52.4418804345624,51.4744676741427,146,https://www.gabonmediatime.com/gabon-fermeture-provisoire-des-etablissements-superieurs-publics-et-prives-pour-cause-de-coronavirus/ ; https://ga.usembassy.gov/u-s-citizen-services/coronavirus-update/ ; https://www.gabonmediatime.com/covid-19-prolongation-de-la-fermeture-des-etablissements-scolaires/,2020-04-03,2020-04-03T16:50:28Z
R_AA3lb9pp4wJb0HfDf,6445427,update,original,,,"On March 29, Gabon announced that all schools would remain closed until further notice.",2020-03-29,2020-03-30,2020-03-30,Gabon,GAB,GA,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Gabon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,58.577380802991,54.683025321432,50.5453716964589,181,https://www.gabonmediatime.com/covid-19-prolongation-de-la-fermeture-des-etablissements-scolaires/,2020-04-03,2020-04-03T16:57:23Z
R_AA3lb9pp4wJb0HfDh,6445427,update,original,,,"On March 29, Gabon announced that all schools would remain closed until further notice.",2020-03-29,2020-03-30,2020-03-30,Gabon,GAB,GA,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Gabon,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,58.577380802991,54.683025321432,50.5453716964589,181,https://www.gabonmediatime.com/covid-19-prolongation-de-la-fermeture-des-etablissements-scolaires/,2020-04-03,2020-04-03T16:57:23Z
